step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.000,1597.007,0.000,-0.012,-59.709,-0.001,59.709,0.012,603782.6,603.78,39590.08,13990.08,1.556,1.503,0.016,0.118,-0.411,0.648,0.000,Fuzzy
2,0.1000,-0.001,1594.029,0.000,-0.023,-59.423,0.000,59.423,0.023,600405.3,600.41,39580.21,13980.21,1.548,1.512,-0.001,0.240,0.417,0.686,0.001,Fuzzy
3,0.1500,-0.003,1591.065,0.000,-0.033,-59.140,0.000,59.140,0.033,597077.6,597.08,39570.39,13970.40,1.539,1.528,0.001,0.369,-0.420,0.729,0.003,Fuzzy
4,0.2000,-0.004,1588.115,0.000,-0.044,-58.862,0.001,58.862,0.044,593799.1,593.80,39560.64,13960.64,1.531,1.550,-0.017,0.504,0.421,0.777,0.004,Fuzzy
5,0.2500,-0.007,1585.179,0.000,-0.053,-58.588,-0.003,58.588,0.054,590568.8,590.57,39550.93,13950.93,1.523,1.579,0.048,0.646,-0.420,0.832,0.007,Fuzzy
6,0.3000,-0.010,1582.256,0.000,-0.063,-58.318,0.002,58.318,0.063,587386.1,587.39,39541.28,13941.28,1.516,1.616,-0.031,0.797,-0.459,0.894,0.010,Fuzzy
7,0.3500,-0.013,1579.347,0.000,-0.072,-58.052,0.001,58.052,0.072,584250.1,584.25,39531.68,13931.68,1.508,1.660,-0.018,0.958,0.447,0.963,0.013,Fuzzy
8,0.4000,-0.017,1576.451,0.000,-0.081,-57.789,-0.005,57.790,0.081,581160.4,581.16,39522.13,13922.13,1.500,1.712,0.067,1.130,0.505,1.041,0.017,Fuzzy
9,0.4500,-0.021,1573.568,0.000,-0.089,-57.531,0.000,57.531,0.089,578116.1,578.12,39512.63,13912.62,1.493,1.774,0.002,1.314,-0.478,1.127,0.021,Fuzzy
10,0.5000,-0.026,1570.697,0.000,-0.097,-57.276,0.006,57.276,0.097,575116.9,575.12,39503.18,13903.17,1.485,1.845,-0.090,1.512,-0.551,1.224,0.026,Fuzzy
11,0.5500,-0.031,1567.840,0.000,-0.105,-57.025,0.000,57.025,0.105,572161.5,572.16,39493.77,13893.77,1.478,1.926,-0.002,1.725,0.513,1.331,0.031,Fuzzy
12,0.6000,-0.036,1564.995,0.000,-0.112,-56.778,-0.007,56.778,0.112,569249.8,569.25,39484.42,13884.42,1.471,2.019,0.096,1.955,0.594,1.451,0.036,Fuzzy
13,0.6500,-0.042,1562.163,0.000,-0.118,-56.534,-0.002,56.534,0.118,566380.9,566.38,39475.11,13875.11,1.464,2.123,0.021,2.204,-0.553,1.585,0.042,Fuzzy
14,0.7000,-0.048,1559.342,0.000,-0.125,-56.294,0.006,56.294,0.125,563554.1,563.55,39465.85,13865.85,1.457,2.241,-0.082,2.474,-0.635,1.734,0.048,Fuzzy
15,0.7500,-0.055,1556.534,0.000,-0.131,-56.057,0.003,56.058,0.131,560769.1,560.77,39456.64,13856.64,1.450,2.373,-0.044,2.768,0.603,1.899,0.055,Fuzzy
16,0.8000,-0.061,1553.736,0.000,-0.136,-55.824,-0.005,55.824,0.136,558025.1,558.03,39447.47,13847.47,1.443,2.520,0.067,3.088,0.687,2.083,0.061,Fuzzy
17,0.8500,-0.068,1550.951,0.000,-0.141,-55.594,-0.003,55.595,0.141,555321.4,555.32,39438.34,13838.35,1.437,2.684,0.048,3.437,-0.671,2.289,0.068,Fuzzy
18,0.9000,-0.075,1548.177,0.000,-0.145,-55.368,0.005,55.368,0.145,552657.4,552.66,39429.27,13829.27,1.430,2.866,-0.075,3.818,-0.767,2.517,0.075,Fuzzy
19,0.9500,-0.083,1545.414,0.000,-0.149,-55.145,0.002,55.145,0.149,550032.8,550.03,39420.23,13820.23,1.424,3.068,-0.027,4.236,0.759,2.771,0.083,Fuzzy
20,1.0000,-0.090,1542.662,0.000,-0.152,-54.925,-0.008,54.925,0.152,547446.8,547.45,39411.23,13811.24,1.417,3.292,0.112,4.693,0.882,3.054,0.090,Fuzzy
21,1.0500,-0.098,1539.922,0.000,-0.154,-54.708,0.002,54.708,0.154,544898.7,544.90,39402.28,13802.28,1.411,3.540,-0.029,5.194,-0.878,3.368,0.098,Fuzzy
22,1.1000,-0.106,1537.192,0.000,-0.155,-54.495,0.002,54.495,0.155,542388.2,542.39,39393.38,13793.37,1.405,3.815,-0.031,5.744,0.913,3.718,0.106,Fuzzy
23,1.1500,-0.113,1534.472,0.000,-0.155,-54.284,-0.005,54.284,0.155,539914.8,539.91,39384.50,13784.50,1.399,4.119,0.067,6.348,-0.966,4.081,0.113,Fuzzy
24,1.2000,-0.121,1531.763,0.000,-0.155,-54.077,0.008,54.077,0.155,537477.8,537.48,39375.67,13775.67,1.393,4.454,-0.107,7.002,-1.128,4.430,0.121,Fuzzy
25,1.2500,-0.129,1529.064,0.000,-0.155,-53.873,-0.006,53.873,0.155,535076.8,535.08,39366.88,13766.88,1.387,4.823,0.079,7.705,1.209,4.794,0.129,Fuzzy
26,1.3000,-0.137,1526.376,0.000,-0.155,-53.671,0.003,53.671,0.155,532711.4,532.71,39358.13,13758.13,1.381,5.229,-0.042,8.461,-1.295,5.182,0.137,Fuzzy
27,1.3500,-0.144,1523.697,0.000,-0.155,-53.473,0.000,53.473,0.155,530381.0,530.38,39349.42,13749.42,1.375,5.674,0.002,9.271,1.401,5.592,0.144,Fuzzy
28,1.4000,-0.152,1521.029,0.000,-0.156,-53.277,-0.004,53.278,0.156,528085.3,528.09,39340.75,13740.75,1.369,6.161,0.051,10.140,-1.525,6.023,0.152,Fuzzy
29,1.4500,-0.160,1518.370,0.000,-0.157,-53.085,0.008,53.085,0.158,525823.9,525.82,39332.11,13732.11,1.364,6.693,-0.109,11.068,1.664,6.474,0.160,Fuzzy
30,1.5000,-0.168,1515.720,0.000,-0.160,-52.895,-0.013,52.895,0.160,523596.1,523.60,39323.51,13723.51,1.358,7.274,0.185,12.059,1.973,6.942,0.168,Fuzzy
31,1.5500,-0.176,1513.080,0.000,-0.164,-52.708,0.010,52.708,0.164,521401.8,521.40,39314.95,13714.95,1.353,7.905,-0.133,13.111,-2.128,7.419,0.176,Fuzzy
32,1.6000,-0.184,1510.449,0.000,-0.170,-52.524,-0.005,52.524,0.170,519240.9,519.24,39306.42,13706.42,1.348,8.591,0.077,14.226,2.302,7.908,0.184,Fuzzy
33,1.6500,-0.193,1507.827,0.000,-0.178,-52.343,0.000,52.343,0.178,517113.1,517.11,39297.93,13697.92,1.342,9.335,-0.001,15.413,-2.503,8.497,0.193,Fuzzy
34,1.7000,-0.202,1505.215,0.000,-0.189,-52.164,0.006,52.165,0.189,514470.3,514.47,39289.47,13689.47,1.336,10.140,-0.084,16.666,2.750,8.758,0.202,Fuzzy
35,1.7500,-0.212,1502.611,0.000,-0.210,-51.995,-0.007,51.996,0.211,504199.2,504.20,39281.13,13681.13,1.309,11.007,0.099,17.860,-3.021,8.434,0.212,Fuzzy
36,1.8000,-0.223,1500.015,0.000,-0.245,-51.840,0.007,51.841,0.245,493598.2,493.60,39272.95,13672.95,1.282,11.930,-0.097,18.971,3.284,8.139,0.223,Fuzzy
37,1.8500,-0.237,1497.427,0.000,-0.293,-51.700,-0.008,51.701,0.293,482740.4,482.74,39264.96,13664.96,1.254,12.908,0.112,19.999,-3.559,7.837,0.237,Fuzzy
38,1.9000,-0.253,1494.845,0.000,-0.353,-51.575,0.008,51.576,0.353,471640.5,471.64,39257.14,13657.14,1.226,13.934,-0.109,20.946,3.853,7.530,0.253,Fuzzy
39,1.9500,-0.272,1492.269,0.000,-0.425,-51.465,-0.009,51.467,0.425,460333.6,460.33,39249.52,13649.51,1.197,15.005,0.125,21.814,-4.155,7.219,0.272,Fuzzy
40,2.0000,-0.296,1489.698,0.000,-0.510,-51.372,0.009,51.375,0.510,448854.8,448.85,39242.07,13642.07,1.167,16.118,-0.120,22.605,4.475,6.915,0.296,Fuzzy
41,2.0500,-0.323,1487.131,0.000,-0.606,-51.296,0.000,51.300,0.606,437235.3,437.24,39234.82,13634.82,1.137,17.269,0.006,23.322,-4.834,6.613,0.323,Fuzzy
42,2.1000,-0.356,1484.568,0.000,-0.713,-51.238,-0.010,51.243,0.713,425502.8,425.50,39227.75,13627.75,1.107,18.453,0.142,23.969,5.231,6.330,0.356,Fuzzy
43,2.1500,-0.395,1482.007,0.000,-0.831,-51.197,0.020,51.204,0.831,413680.4,413.68,39220.89,13620.89,1.076,19.667,-0.278,24.551,-5.656,6.053,0.395,Fuzzy
44,2.2000,-0.440,1479.448,0.000,-0.959,-51.174,-0.011,51.183,0.959,401788.0,401.79,39214.21,13614.21,1.045,20.909,0.153,25.070,-5.802,5.769,0.440,Fuzzy
