step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.000,1796.503,0.000,-0.014,-69.889,-0.001,69.889,0.014,457786.4,457.79,39592.48,13992.48,1.180,2.003,0.016,0.093,-0.541,0.673,0.000,Hybrid
2,0.1000,-0.001,1793.011,0.000,-0.027,-69.780,0.000,69.780,0.027,456237.7,456.24,39584.99,13984.99,1.176,2.010,0.000,0.189,0.546,0.700,0.001,Hybrid
3,0.1500,-0.003,1789.525,0.000,-0.040,-69.673,0.000,69.673,0.040,454720.8,454.72,39577.53,13977.53,1.172,2.022,0.000,0.288,-0.548,0.729,0.003,Hybrid
4,0.2000,-0.005,1786.044,0.000,-0.053,-69.568,0.001,69.568,0.053,453235.4,453.24,39570.09,13970.08,1.169,2.039,-0.016,0.389,0.549,0.761,0.005,Hybrid
5,0.2500,-0.008,1782.568,0.000,-0.065,-69.465,-0.003,69.465,0.065,451780.7,451.78,39562.67,13962.67,1.165,2.061,0.047,0.494,-0.547,0.797,0.008,Hybrid
6,0.3000,-0.012,1779.097,0.000,-0.078,-69.363,0.002,69.363,0.078,450356.4,450.36,39555.27,13955.27,1.162,2.089,-0.031,0.603,-0.579,0.835,0.012,Hybrid
7,0.3500,-0.016,1775.632,0.000,-0.090,-69.263,0.001,69.263,0.090,448962.0,448.96,39547.90,13947.90,1.158,2.122,-0.017,0.717,0.568,0.878,0.016,Hybrid
8,0.4000,-0.021,1772.171,0.000,-0.102,-69.165,-0.005,69.165,0.102,447597.5,447.60,39540.55,13940.56,1.155,2.162,0.065,0.835,0.616,0.924,0.021,Hybrid
9,0.4500,-0.026,1768.715,0.000,-0.114,-69.068,0.000,69.068,0.114,446262.0,446.26,39533.23,13933.23,1.152,2.207,0.001,0.958,-0.592,0.975,0.026,Hybrid
10,0.5000,-0.032,1765.264,0.000,-0.126,-68.973,0.006,68.974,0.127,444955.5,444.96,39525.93,13925.92,1.149,2.258,-0.084,1.088,-0.650,1.030,0.032,Hybrid
