step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
32,1.6000,4.414,2349.537,2.981,2.990,-88.331,1.445,88.394,3.321,664544.2,664.54,39409.96,13809.96,1.721,6.523,12.088,2.369,-9.973,-3.757,5.327,Fuzzy
33,1.6500,4.560,2345.129,3.057,2.848,-87.967,1.566,88.027,3.251,662537.6,662.54,39399.09,13799.09,1.716,6.624,7.914,0.635,-6.343,-2.799,5.490,Fuzzy
34,1.7000,4.699,2340.740,3.137,2.718,-87.600,1.656,87.658,3.183,660512.7,660.51,39388.24,13788.24,1.711,6.659,5.078,-0.678,-4.695,-2.635,5.650,Fuzzy
35,1.7500,4.832,2336.369,3.222,2.577,-87.236,1.736,87.291,3.107,658504.4,658.50,39377.43,13777.43,1.707,6.613,2.772,-2.373,-3.936,-3.596,5.808,Fuzzy
36,1.8000,4.957,2332.017,3.311,2.426,-86.875,1.805,86.928,3.024,656516.8,656.52,39366.66,13766.66,1.702,6.456,0.958,-4.503,-2.923,-4.304,5.961,Fuzzy
37,1.8500,5.074,2327.682,3.402,2.270,-86.517,1.859,86.567,2.934,654543.7,654.54,39355.91,13755.91,1.697,6.174,-0.288,-6.944,-2.103,-5.019,6.109,Fuzzy
38,1.9000,5.184,2323.365,3.497,2.100,-86.165,1.914,86.211,2.842,652599.9,652.60,39345.20,13745.20,1.693,5.743,-1.595,-10.112,-2.757,-6.980,6.253,Fuzzy
39,1.9500,5.284,2319.065,3.594,1.898,-85.822,1.976,85.866,2.740,650709.8,650.71,39334.52,13734.52,1.688,5.107,-3.161,-14.736,-3.154,-10.744,6.390,Fuzzy
40,2.0000,5.373,2314.782,3.694,1.640,-85.499,2.038,85.539,2.616,648917.4,648.92,39323.87,13723.87,1.684,4.164,-4.805,-21.851,-3.219,-16.475,6.520,Fuzzy
41,2.0500,5.446,2310.515,3.798,1.299,-85.210,2.097,85.246,2.467,647303.9,647.30,39313.24,13713.24,1.680,2.764,-6.407,-32.631,-3.382,-24.536,6.640,Fuzzy
42,2.1000,5.502,2306.261,3.904,0.918,-84.943,2.155,84.975,2.342,645825.5,645.83,39302.64,13702.64,1.677,0.751,-8.113,-45.688,-3.764,-26.428,6.746,Fuzzy
43,2.1500,5.548,2302.021,4.013,1.068,-84.672,2.160,84.707,2.409,644327.6,644.33,39292.07,13692.07,1.673,1.579,-8.350,-40.260,4.367,26.560,6.847,Fuzzy
44,2.2000,5.610,2297.793,4.119,1.444,-84.407,2.098,84.445,2.546,642865.8,642.87,39281.52,13681.52,1.670,3.269,-6.439,-27.486,3.659,23.174,6.960,Fuzzy
45,2.2500,5.691,2293.580,4.222,1.747,-84.110,2.038,84.153,2.684,641255.4,641.26,39271.00,13671.00,1.666,4.401,-4.746,-18.138,3.304,14.562,7.086,Fuzzy
46,2.3000,5.784,2289.383,4.323,1.971,-83.789,1.976,83.835,2.791,639502.6,639.50,39260.50,13660.50,1.662,5.156,-3.067,-12.189,3.195,9.150,7.221,Fuzzy
47,2.3500,5.887,2285.201,4.420,2.147,-83.457,1.916,83.507,2.878,637690.2,637.69,39250.03,13650.03,1.658,5.666,-1.518,-8.393,2.784,6.087,7.362,Fuzzy
48,2.4000,5.998,2281.037,4.515,2.298,-83.122,1.863,83.175,2.959,635859.7,635.86,39239.59,13639.59,1.654,6.011,-0.254,-5.731,2.137,4.448,7.507,Fuzzy
49,2.4500,6.117,2276.889,4.607,2.440,-82.788,1.814,82.843,3.041,634031.5,634.03,39229.18,13629.18,1.649,6.229,0.861,-3.544,2.526,3.983,7.657,Fuzzy
50,2.5000,6.242,2272.758,4.696,2.576,-82.455,1.754,82.514,3.116,632215.8,632.22,39218.80,13618.81,1.645,6.336,2.428,-1.678,3.456,3.264,7.811,Fuzzy
51,2.5500,6.374,2268.644,4.782,2.701,-82.124,1.683,82.186,3.182,630408.8,630.41,39208.46,13608.46,1.641,6.352,4.419,-0.254,4.205,2.344,7.968,Fuzzy
52,2.6000,6.512,2264.546,4.864,2.818,-81.795,1.607,81.859,3.244,628611.9,628.61,39198.14,13598.14,1.636,6.300,6.741,0.922,4.951,2.627,8.128,Fuzzy
53,2.6500,6.656,2260.464,4.942,2.945,-81.471,1.516,81.538,3.313,626843.1,626.84,39187.85,13587.85,1.632,6.186,9.773,2.491,6.960,3.440,8.290,Fuzzy
54,2.7000,6.807,2256.398,5.017,3.081,-81.153,1.516,81.226,3.434,625111.7,625.11,39177.59,13577.59,1.628,6.017,9.689,4.408,-7.375,4.057,8.456,Fuzzy
55,2.7500,6.964,2252.349,5.095,3.221,-80.836,1.604,80.916,3.598,623383.8,623.38,39167.36,13567.36,1.624,5.775,6.667,6.577,-4.938,4.585,8.629,Fuzzy
56,2.8000,7.129,2248.315,5.177,3.372,-80.520,1.672,80.608,3.764,621666.5,621.67,39157.15,13557.15,1.620,5.422,4.519,9.303,-3.853,6.212,8.810,Fuzzy
57,2.8500,7.302,2244.297,5.262,3.546,-80.212,1.731,80.309,3.946,619982.7,619.98,39146.98,13546.98,1.616,4.908,2.797,13.138,-3.027,9.092,9.000,Fuzzy
58,2.9000,7.484,2240.293,5.350,3.765,-79.916,1.779,80.024,4.164,618363.4,618.36,39136.83,13536.83,1.612,4.161,1.543,18.949,-2.099,13.935,9.200,Fuzzy
59,2.9500,7.679,2236.305,5.439,4.049,-79.644,1.815,79.767,4.437,616864.9,616.86,39126.70,13526.70,1.609,3.089,0.713,27.724,-1.427,21.376,9.411,Fuzzy
60,3.0000,7.890,2232.329,5.531,4.401,-79.403,1.841,79.546,4.771,615536.8,615.54,39116.60,13516.60,1.606,1.734,0.217,39.652,-0.801,26.012,9.636,Fuzzy
61,3.0500,8.117,2228.365,5.623,4.472,-79.166,1.863,79.314,4.844,614239.2,614.24,39106.52,13506.52,1.603,1.770,-0.052,42.136,-0.582,-26.564,9.874,Fuzzy
62,3.1000,8.331,2224.412,5.717,4.108,-78.934,1.894,79.064,4.524,612967.8,612.97,39096.46,13496.46,1.600,3.187,-0.452,29.645,-1.145,-24.432,10.104,Fuzzy
63,3.1500,8.528,2220.471,5.813,3.798,-78.679,1.933,78.795,4.261,611598.2,611.60,39086.43,13486.43,1.597,4.288,-1.147,19.851,-1.752,-16.102,10.321,Fuzzy
64,3.2000,8.712,2216.544,5.911,3.566,-78.398,1.981,78.504,4.079,610079.1,610.08,39076.41,13476.41,1.593,5.040,-2.247,13.481,-2.680,-10.462,10.528,Fuzzy
65,3.2500,8.886,2212.632,6.011,3.386,-78.105,2.041,78.205,3.953,608495.6,608.50,39066.43,13466.43,1.589,5.547,-3.804,9.382,-3.549,-6.797,10.728,Fuzzy
66,3.3000,9.051,2208.734,6.115,3.233,-77.808,2.108,77.904,3.860,606892.6,606.89,39056.46,13456.46,1.586,5.889,-5.757,6.553,-4.282,-4.904,10.923,Fuzzy
67,3.3500,9.209,2204.851,6.222,3.094,-77.513,2.185,77.605,3.788,605291.5,605.29,39046.53,13446.53,1.582,6.115,-8.210,4.363,-5.791,-4.186,11.114,Fuzzy
68,3.4000,9.361,2200.983,6.334,2.960,-77.221,2.286,77.311,3.740,603711.3,603.71,39036.62,13436.62,1.578,6.260,-11.731,2.446,-8.569,-3.616,11.302,Fuzzy
69,3.4500,9.505,2197.129,6.446,2.833,-76.931,2.199,77.015,3.586,602147.4,602.15,39026.74,13426.74,1.574,6.360,-8.639,0.882,6.708,-2.814,11.485,Fuzzy
70,3.5000,9.644,2193.290,6.554,2.716,-76.638,2.115,76.716,3.442,600568.2,600.57,39016.88,13416.88,1.571,6.410,-5.887,-0.277,4.779,-2.208,11.660,Fuzzy
71,3.5500,9.777,2189.465,6.658,2.594,-76.347,2.043,76.419,3.302,598995.4,599.00,39007.05,13407.05,1.567,6.398,-3.707,-1.599,4.141,-3.090,11.829,Fuzzy
72,3.6000,9.903,2185.655,6.759,2.464,-76.059,1.978,76.124,3.160,597439.4,597.44,38997.24,13397.24,1.563,6.300,-1.879,-3.312,3.348,-3.822,11.990,Fuzzy
73,3.6500,10.023,2181.859,6.856,2.327,-75.773,1.924,75.833,3.020,595896.1,595.90,38987.46,13387.46,1.560,6.096,-0.494,-5.315,2.394,-4.326,12.144,Fuzzy
74,3.7000,10.136,2178.078,6.951,2.188,-75.488,1.881,75.543,2.885,594363.8,594.36,38977.71,13377.71,1.556,5.777,0.492,-7.593,2.073,-5.227,12.291,Fuzzy
75,3.7500,10.242,2174.310,7.044,2.034,-75.209,1.833,75.259,2.738,592857.0,592.86,38967.98,13367.98,1.552,5.318,1.634,-10.584,2.573,-7.131,12.430,Fuzzy
76,3.8000,10.339,2170.557,7.135,1.852,-74.938,1.783,74.982,2.571,591392.4,591.39,38958.27,13358.27,1.549,4.669,2.951,-14.848,2.862,-10.632,12.562,Fuzzy
77,3.8500,10.426,2166.816,7.222,1.625,-74.682,1.733,74.720,2.376,590002.0,590.00,38948.59,13348.59,1.546,3.745,4.323,-21.193,2.993,-15.838,12.683,Fuzzy
78,3.9000,10.500,2163.088,7.308,1.329,-74.454,1.686,74.484,2.147,588744.8,588.74,38938.93,13338.92,1.543,2.421,5.700,-30.593,3.051,-23.748,12.793,Fuzzy
79,3.9500,10.558,2159.371,7.391,0.988,-74.246,1.646,74.271,1.920,587643.9,587.64,38929.28,13329.28,1.540,0.597,7.004,-42.331,2.997,-26.349,12.888,Fuzzy
80,4.0000,10.608,2155.664,7.472,1.128,-74.041,1.602,74.067,1.959,586935.4,586.94,38919.66,13319.66,1.539,1.634,8.467,-37.346,4.213,26.021,12.975,Fuzzy
81,4.0500,10.672,2151.967,7.554,1.464,-73.834,1.651,73.867,2.207,586232.3,586.23,38910.04,13310.04,1.537,3.206,6.649,-25.970,-3.774,21.663,13.075,Fuzzy
82,4.1000,10.753,2148.281,7.638,1.733,-73.599,1.699,73.639,2.427,585386.6,585.39,38900.44,13300.44,1.536,4.295,5.050,-17.760,-3.324,14.090,13.189,Fuzzy
83,4.1500,10.845,2144.607,7.724,1.938,-73.344,1.750,73.391,2.611,584428.7,584.43,38890.85,13290.85,1.533,5.049,3.475,-12.343,-3.277,9.206,13.314,Fuzzy
