step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.459,2495.007,0.240,9.172,-99.708,4.763,100.242,10.335,588032.4,588.03,39503.33,13903.33,1.519,8.970,3.766,3.580,8.071,7.681,0.518,Neural
2,0.1000,0.917,2490.029,0.476,9.159,-99.413,4.694,99.945,10.291,591253.8,591.25,39493.66,13893.66,1.528,9.329,7.626,7.257,8.346,7.974,1.033,Neural
3,0.1500,1.375,2485.066,0.709,9.146,-99.113,4.624,99.641,10.248,597260.8,597.26,39483.92,13883.92,1.544,9.939,11.688,11.149,8.826,8.485,1.547,Neural
4,0.2000,1.832,2480.118,0.939,9.134,-98.803,4.553,99.328,10.206,606289.9,606.29,39474.05,13874.05,1.567,10.827,16.075,15.384,9.531,9.242,2.058,Neural
5,0.2500,2.288,2475.185,1.165,9.123,-98.479,4.481,99.002,10.164,618635.2,618.64,39464.01,13864.01,1.600,12.031,20.930,20.116,10.492,10.279,2.567,Neural
6,0.3000,2.744,2470.270,1.387,9.114,-98.137,4.407,98.658,10.124,634606.7,634.61,39453.73,13853.73,1.641,13.598,26.422,25.531,11.748,11.647,3.075,Neural
7,0.3500,3.200,2465.372,1.605,9.109,-97.772,4.330,98.291,10.086,654471.7,654.47,39443.15,13843.15,1.693,15.588,32.754,31.858,13.348,13.413,3.580,Neural
8,0.4000,3.655,2460.493,1.820,9.108,-97.380,4.249,97.897,10.051,678362.3,678.36,39432.21,13832.21,1.756,18.077,40.170,39.381,15.354,15.666,4.083,Neural
9,0.4500,4.111,2455.634,2.030,9.114,-96.955,4.164,97.472,10.021,706133.3,706.13,39420.84,13820.84,1.828,21.158,48.955,48.453,17.845,18.532,4.585,Neural
10,0.5000,4.567,2450.798,2.236,9.130,-96.493,4.075,97.010,9.998,737167.9,737.17,39408.99,13808.99,1.909,24.950,59.428,59.510,20.921,22.188,5.085,Neural
11,0.5500,5.024,2445.985,2.437,9.160,-95.991,3.981,96.509,9.987,770182.0,770.18,39396.61,13796.61,1.995,29.599,71.909,73.069,24.709,26.882,5.584,Neural
12,0.6000,5.483,2441.199,2.634,9.203,-95.446,3.890,95.968,9.991,803144.4,803.14,39383.69,13783.69,2.081,35.280,86.559,89.553,28.000,31.056,6.083,Neural
13,0.6500,5.943,2436.441,2.828,9.186,-94.858,3.859,95.380,9.964,833272.7,833.27,39370.24,13770.24,2.160,42.126,102.197,107.282,28.000,31.056,6.581,Neural
14,0.7000,6.400,2431.714,3.022,9.071,-94.256,3.922,94.773,9.883,836328.0,836.33,39356.53,13756.53,2.169,50.176,118.128,125.342,28.000,31.056,7.077,Neural
15,0.7500,6.848,2427.015,3.222,8.843,-93.687,4.094,94.192,9.745,835464.2,835.46,39342.82,13742.82,2.167,59.432,134.018,143.355,28.000,31.056,7.568,Neural
16,0.8000,7.282,2422.344,3.433,8.494,-93.181,4.384,93.670,9.559,834685.3,834.69,39329.13,13729.13,2.166,69.890,149.864,161.319,28.000,31.056,8.051,Neural
17,0.8500,7.696,2417.695,3.662,8.022,-92.781,4.797,93.250,9.347,834049.1,834.05,39315.46,13715.46,2.165,81.547,165.671,179.238,28.000,31.056,8.522,Neural
18,0.9000,8.082,2413.063,3.915,7.433,-92.533,5.327,92.983,9.145,833623.7,833.62,39301.79,13701.79,2.165,94.397,181.440,197.115,28.000,31.056,8.981,Neural
19,0.9500,8.437,2408.438,4.196,6.747,-92.487,5.959,92.924,9.002,833483.5,833.48,39288.13,13688.12,2.165,108.438,197.178,214.956,28.000,31.056,9.423,Neural
20,1.0000,8.756,2403.810,4.512,5.998,-92.692,6.663,93.125,8.965,833698.8,833.70,39274.46,13674.46,2.166,123.666,212.890,232.768,28.000,31.056,9.850,Neural
21,1.0500,9.037,2399.165,4.863,5.234,-93.186,7.394,93.625,9.059,834322.3,834.32,39260.79,13660.79,2.169,140.078,228.584,250.560,28.000,31.056,10.262,Neural
22,1.1000,9.280,2394.487,5.251,4.519,-93.986,8.092,94.442,9.269,835374.1,835.37,39247.10,13647.10,2.172,157.664,244.268,268.340,28.000,31.056,10.663,Neural
23,1.1500,9.491,2389.761,5.671,3.925,-95.080,8.689,95.557,9.534,836830.2,836.83,39233.39,13633.39,2.177,176.230,259.950,286.118,28.000,31.056,11.056,Neural
24,1.2000,9.688,2384.976,6.102,4.186,-96.286,8.364,96.739,9.353,838501.8,838.50,39219.66,13619.66,2.182,164.251,252.919,274.502,-28.000,-31.056,11.449,Neural
25,1.2500,9.914,2380.137,6.504,4.871,-97.225,7.709,97.652,9.119,839822.5,839.82,39205.90,13605.90,2.186,146.320,236.152,255.537,-28.000,-31.056,11.857,Neural
