step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.009,1597.256,0.018,0.153,-54.743,0.262,54.743,0.304,573692.3,573.69,38862.37,13262.37,1.506,6.311,1.696,-0.805,7.155,-1.660,0.020,PID
2,0.1000,0.015,1594.525,0.027,0.121,-54.505,0.100,54.505,0.157,565587.4,565.59,38853.04,13253.04,1.485,6.187,2.863,-1.058,6.241,-1.325,0.031,PID
3,0.1500,0.021,1591.806,0.028,0.095,-54.275,-0.048,54.275,0.106,557644.5,557.64,38843.84,13243.84,1.465,6.009,3.848,-1.251,5.376,-1.023,0.035,PID
4,0.2000,0.025,1589.098,0.022,0.073,-54.051,-0.181,54.052,0.195,550015.6,550.02,38834.77,13234.77,1.445,5.786,4.666,-1.390,4.561,-0.752,0.033,PID
5,0.2500,0.028,1586.401,0.010,0.056,-53.835,-0.300,53.836,0.305,542673.4,542.67,38825.82,13225.82,1.426,5.526,5.331,-1.483,3.798,-0.511,0.030,PID
6,0.3000,0.031,1583.714,-0.008,0.042,-53.626,-0.405,53.628,0.407,535618.6,535.62,38816.98,13216.98,1.408,5.236,5.857,-1.535,3.088,-0.298,0.032,PID
7,0.3500,0.032,1581.038,-0.030,0.031,-53.424,-0.498,53.426,0.499,528850.4,528.85,38808.27,13208.26,1.390,4.924,6.257,-1.553,2.428,-0.111,0.044,PID
8,0.4000,0.034,1578.372,-0.057,0.024,-53.228,-0.578,53.232,0.579,522339.4,522.34,38799.65,13199.65,1.373,4.596,6.544,-1.543,1.821,0.050,0.067,PID
9,0.4500,0.035,1575.715,-0.088,0.019,-53.040,-0.647,53.044,0.647,516125.7,516.13,38791.14,13191.15,1.357,4.256,6.730,-1.508,1.264,0.189,0.095,PID
10,0.5000,0.036,1573.068,-0.122,0.017,-52.858,-0.705,52.863,0.705,510150.9,510.15,38782.74,13182.74,1.342,3.910,6.827,-1.453,0.756,0.306,0.127,PID
11,0.5500,0.037,1570.429,-0.158,0.017,-52.683,-0.753,52.689,0.753,504438.8,504.44,38774.43,13174.43,1.327,3.563,6.844,-1.382,0.297,0.403,0.163,PID
12,0.6000,0.037,1567.799,-0.197,0.018,-52.515,-0.792,52.521,0.792,498956.8,498.96,38766.21,13166.21,1.313,3.217,6.791,-1.299,-0.117,0.482,0.201,PID
13,0.6500,0.038,1565.177,-0.237,0.021,-52.353,-0.822,52.359,0.822,493699.8,493.70,38758.08,13158.08,1.300,2.876,6.679,-1.206,-0.486,0.544,0.240,PID
14,0.7000,0.040,1562.564,-0.279,0.025,-52.197,-0.844,52.204,0.845,488661.7,488.66,38750.03,13150.03,1.287,2.543,6.515,-1.107,-0.812,0.591,0.282,PID
15,0.7500,0.041,1559.958,-0.322,0.030,-52.047,-0.860,52.054,0.860,483849.3,483.85,38742.06,13142.06,1.274,2.221,6.307,-1.004,-1.097,0.623,0.324,PID
16,0.8000,0.043,1557.359,-0.365,0.036,-51.903,-0.869,51.911,0.869,479214.3,479.21,38734.17,13134.17,1.262,1.910,6.062,-0.899,-1.342,0.642,0.367,PID
17,0.8500,0.045,1554.767,-0.408,0.043,-51.765,-0.872,51.773,0.873,474763.1,474.76,38726.36,13126.36,1.251,1.613,5.788,-0.793,-1.554,0.653,0.411,PID
18,0.9000,0.047,1552.182,-0.452,0.067,-51.635,-0.870,51.642,0.872,473477.7,473.48,38718.59,13118.59,1.248,1.332,5.491,-0.444,-1.731,-0.157,0.454,PID
19,0.9500,0.051,1549.604,-0.495,0.066,-51.508,-0.863,51.515,0.865,466481.2,466.48,38710.92,13110.92,1.229,1.066,5.174,-0.461,-1.871,-0.128,0.498,PID
20,1.0000,0.054,1547.031,-0.538,0.065,-51.386,-0.852,51.393,0.855,462526.6,462.53,38703.31,13103.31,1.219,0.818,4.844,-0.473,-1.987,-0.102,0.541,PID
21,1.0500,0.057,1544.465,-0.581,0.065,-51.269,-0.838,51.275,0.841,458737.7,458.74,38695.76,13095.76,1.209,0.589,4.505,-0.481,-2.063,-0.062,0.583,PID
