step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.424,2495.008,-0.093,8.469,-99.668,-1.899,100.045,8.679,617606.6,617.61,39278.48,13678.48,1.605,12.017,5.173,5.049,10.600,10.360,0.434,Neural
2,0.1000,0.847,2490.033,-0.190,8.453,-99.333,-1.989,99.712,8.684,622131.8,622.13,39268.32,13668.32,1.617,12.524,10.486,10.250,10.988,10.782,0.868,Neural
3,0.1500,1.269,2485.075,-0.292,8.437,-98.989,-2.080,99.370,8.690,630402.2,630.40,39258.05,13658.05,1.639,13.385,16.104,15.780,11.664,11.521,1.302,Neural
4,0.2000,1.691,2480.135,-0.398,8.423,-98.632,-2.172,99.015,8.699,642656.8,642.66,39247.61,13647.61,1.671,14.640,22.211,21.840,12.661,12.618,1.737,Neural
5,0.2500,2.111,2475.212,-0.509,8.411,-98.257,-2.267,98.643,8.711,659138.8,659.14,39236.93,13636.93,1.714,16.344,29.019,28.669,14.023,14.134,2.172,Neural
6,0.3000,2.532,2470.309,-0.625,8.403,-97.858,-2.365,98.247,8.729,679991.8,679.99,39225.94,13625.94,1.769,18.568,36.779,36.556,15.809,16.153,2.608,Neural
7,0.3500,2.952,2465.427,-0.746,8.399,-97.430,-2.467,97.822,8.754,705110.5,705.11,39214.57,13614.57,1.835,21.401,45.780,45.858,18.093,18.793,3.045,Neural
8,0.4000,3.372,2460.567,-0.872,8.404,-96.967,-2.574,97.365,8.789,733947.0,733.95,39202.76,13602.76,1.911,24.956,56.346,57.006,20.970,22.221,3.483,Neural
9,0.4500,3.792,2455.732,-1.003,8.420,-96.466,-2.685,96.870,8.838,765305.7,765.31,39190.45,13590.44,1.993,29.372,68.806,70.517,24.561,26.671,3.923,Neural
10,0.5000,4.214,2450.922,-1.140,8.450,-95.925,-2.795,96.337,8.900,797238.4,797.24,39177.61,13577.61,2.077,34.818,83.377,86.876,28.000,31.056,4.366,Neural
11,0.5500,4.636,2446.140,-1.282,8.426,-95.339,-2.852,95.753,8.895,827006.1,827.01,39164.27,13564.27,2.155,41.429,98.985,104.568,28.000,31.056,4.810,Neural
12,0.6000,5.055,2441.388,-1.424,8.304,-94.736,-2.818,95.141,8.769,832725.6,832.73,39150.62,13550.62,2.171,49.247,114.929,122.642,28.000,31.056,5.252,Neural
