step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.356,2495.010,0.086,7.035,-99.614,1.764,99.877,7.253,684517.8,684.52,40137.71,14537.71,1.740,8.745,-1.116,-1.169,-2.380,-2.492,0.366,Hybrid
2,0.1000,0.703,2490.039,0.177,6.876,-99.231,1.862,99.486,7.124,683534.9,683.53,40126.50,14526.50,1.738,8.613,-2.612,-2.733,-3.039,-3.171,0.725,Hybrid
3,0.1500,1.043,2485.086,0.272,6.711,-98.852,1.965,99.099,6.993,682297.9,682.30,40115.30,14515.30,1.736,8.367,-4.409,-4.605,-3.519,-3.661,1.078,Hybrid
4,0.2000,1.374,2480.153,0.373,6.544,-98.475,2.071,98.714,6.864,680766.8,680.77,40104.13,14504.13,1.732,7.990,-6.403,-6.687,-3.870,-4.116,1.424,Hybrid
5,0.2500,1.697,2475.239,0.479,6.369,-98.104,2.182,98.334,6.733,678905.5,678.91,40092.98,14492.99,1.728,7.467,-8.795,-9.251,-5.011,-5.399,1.764,Hybrid
6,0.3000,2.011,2470.343,0.592,6.177,-97.740,2.308,97.962,6.594,676631.3,676.63,40081.88,14481.88,1.723,6.757,-11.964,-12.713,-6.864,-7.582,2.096,Hybrid
7,0.3500,2.315,2465.464,0.711,5.954,-97.393,2.460,97.606,6.442,673814.2,673.81,40070.81,14470.81,1.716,5.798,-16.443,-17.717,-9.974,-11.156,2.421,Hybrid
8,0.4000,2.606,2460.603,0.838,5.687,-97.072,2.649,97.274,6.274,670314.3,670.31,40059.79,14459.79,1.708,4.524,-22.697,-24.860,-14.199,-16.366,2.737,Hybrid
9,0.4500,2.882,2455.756,0.974,5.363,-96.789,2.690,96.975,6.000,666247.9,666.25,40048.84,14448.84,1.698,3.001,-24.103,-34.824,16.270,-21.652,3.042,Hybrid
10,0.5000,3.142,2450.924,1.104,5.025,-96.507,2.502,96.670,5.613,662641.6,662.64,40037.95,14437.95,1.689,1.787,-17.690,-46.129,10.768,-22.744,3.330,Hybrid
11,0.5500,3.391,2446.105,1.225,5.090,-96.210,2.360,96.373,5.610,663812.4,663.81,40027.09,14427.09,1.692,2.730,-13.375,-43.708,7.411,22.587,3.605,Hybrid
12,0.6000,3.654,2441.302,1.340,5.430,-95.912,2.244,96.091,5.875,667382.3,667.38,40016.17,14416.17,1.702,4.410,-10.363,-32.295,5.146,20.901,3.892,Hybrid
13,0.6500,3.934,2436.515,1.450,5.748,-95.598,2.140,95.795,6.133,670195.3,670.20,40005.20,14405.20,1.710,5.740,-8.055,-22.526,4.077,15.671,4.192,Hybrid
14,0.7000,4.228,2431.743,1.554,6.003,-95.258,2.039,95.469,6.340,672067.8,672.07,39994.20,14394.20,1.715,6.703,-6.132,-15.719,3.331,10.657,4.504,Hybrid
15,0.7500,4.533,2426.989,1.654,6.213,-94.902,1.939,95.125,6.508,673228.7,673.23,39983.17,14383.17,1.718,7.390,-4.419,-11.081,3.147,7.082,4.825,Hybrid
16,0.8000,4.848,2422.253,1.748,6.391,-94.538,1.837,94.772,6.650,673874.9,673.87,39972.13,14372.13,1.720,7.876,-2.796,-7.915,2.876,5.033,5.154,Hybrid
17,0.8500,5.172,2417.535,1.838,6.553,-94.170,1.738,94.413,6.779,674141.1,674.14,39961.07,14361.08,1.722,8.209,-1.374,-5.574,2.414,3.878,5.489,Hybrid
18,0.9000,5.503,2412.836,1.922,6.710,-93.799,1.645,94.053,6.909,674111.6,674.11,39950.02,14350.02,1.722,8.419,-0.246,-3.583,1.812,3.480,5.829,Hybrid
19,0.9500,5.843,2408.155,2.002,6.862,-93.428,1.558,93.693,7.036,673378.8,673.38,39938.97,14338.97,1.721,8.525,0.711,-1.867,2.037,2.893,6.176,Hybrid
20,1.0000,6.190,2403.493,2.078,7.005,-93.058,1.461,93.333,7.156,671630.8,671.63,39927.95,14327.95,1.717,8.538,2.018,-0.520,2.748,2.156,6.529,Hybrid
21,1.0500,6.543,2398.850,2.148,7.139,-92.690,1.356,92.974,7.267,669688.6,669.69,39916.95,14316.95,1.712,8.467,3.670,0.484,3.341,1.957,6.887,Hybrid
22,1.1000,6.904,2394.224,2.213,7.279,-92.326,1.247,92.621,7.385,667565.5,667.57,39905.99,14305.99,1.707,8.306,5.584,1.724,3.772,2.608,7.250,Hybrid
23,1.1500,7.271,2389.617,2.273,7.426,-91.966,1.134,92.273,7.512,665227.8,665.23,39895.07,14295.07,1.702,8.042,7.790,3.268,4.659,3.129,7.618,Hybrid
