step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,-0.281,2495.014,0.162,-5.632,-99.405,3.309,99.620,6.532,845000.0,845.00,39117.00,13517.00,2.205,5.418,-2.673,-2.890,-1.545,-1.545,0.324,PID
2,0.1000,-0.563,2490.059,0.331,-5.659,-98.781,3.435,99.003,6.620,845000.0,845.00,39103.14,13503.15,2.205,5.252,-3.630,-3.847,-1.280,-1.281,0.653,PID
3,0.1500,-0.844,2485.135,0.505,-5.602,-98.169,3.551,98.393,6.633,845000.0,845.00,39089.29,13489.29,2.206,5.047,-4.411,-1.817,-1.051,0.952,0.984,PID
4,0.2000,-1.124,2480.243,0.686,-5.582,-97.543,3.661,97.771,6.676,845000.0,845.00,39075.43,13475.43,2.207,4.810,-5.043,-1.241,-0.829,0.729,1.317,PID
5,0.2500,-1.403,2475.381,0.871,-5.566,-96.917,3.761,97.149,6.718,845000.0,845.00,39061.57,13461.57,2.208,4.545,-5.525,-0.814,-0.622,0.522,1.651,PID
6,0.3000,-1.681,2470.551,1.062,-5.553,-96.289,3.853,96.526,6.759,845000.0,845.00,39047.71,13447.72,2.208,4.260,-5.874,-0.521,-0.440,0.341,1.988,PID
7,0.3500,-1.958,2465.752,1.256,-5.542,-95.662,3.936,95.903,6.798,845000.0,845.00,39033.86,13433.86,2.209,3.961,-6.104,-0.347,-0.279,0.180,2.326,PID
8,0.4000,-2.235,2460.985,1.455,-5.534,-95.033,4.011,95.279,6.835,845000.0,845.00,39020.00,13420.00,2.210,3.654,-6.230,-0.276,-0.140,0.041,2.667,PID
9,0.4500,-2.511,2456.249,1.657,-5.528,-94.404,4.077,94.654,6.869,845000.0,845.00,39006.14,13406.14,2.211,3.342,-6.267,-0.294,-0.021,-0.078,3.009,PID
10,0.5000,-2.788,2451.545,1.863,-5.524,-93.775,4.136,94.029,6.901,842007.4,842.01,38992.30,13392.30,2.204,3.032,-6.229,-0.388,0.080,-0.179,3.353,PID
11,0.5500,-3.064,2446.871,2.071,-5.521,-93.158,4.186,93.415,6.929,830616.4,830.62,38978.59,13378.59,2.175,2.726,-6.130,-0.542,0.161,-0.260,3.698,PID
12,0.6000,-3.340,2442.229,2.281,-5.520,-92.554,4.229,92.815,6.953,819529.3,819.53,38965.08,13365.08,2.146,2.430,-5.984,-0.741,0.221,-0.320,4.045,PID
13,0.6500,-3.616,2437.616,2.494,-5.518,-91.964,4.264,92.228,6.974,808630.8,808.63,38951.74,13351.74,2.119,2.145,-5.806,-0.971,0.262,-0.361,4.392,PID
14,0.7000,-3.892,2433.032,2.708,-5.517,-91.388,4.294,91.655,6.991,798026.8,798.03,38938.58,13338.58,2.091,1.875,-5.611,-1.218,0.282,-0.382,4.741,PID
15,0.7500,-4.167,2428.477,2.923,-5.514,-90.826,4.318,91.096,7.003,786571.1,786.57,38925.59,13325.60,2.062,1.626,-5.418,-1.461,0.267,-0.367,5.090,PID
16,0.8000,-4.443,2423.949,3.139,-5.509,-90.280,4.338,90.552,7.012,773884.6,773.88,38912.82,13312.82,2.030,1.404,-5.250,-1.679,0.220,-0.319,5.440,PID
17,0.8500,-4.718,2419.448,3.357,-5.502,-89.749,4.354,90.023,7.016,761602.5,761.60,38900.24,13300.24,1.998,1.215,-5.136,-1.842,0.111,-0.210,5.790,PID
18,0.9000,-4.993,2414.974,3.575,-5.491,-89.235,4.367,89.510,7.016,749682.6,749.68,38887.86,13287.86,1.967,1.070,-5.112,-1.912,-0.070,-0.029,6.141,PID
19,0.9500,-5.267,2410.525,3.793,-5.475,-88.735,4.380,89.012,7.012,738137.9,738.14,38875.67,13275.67,1.938,0.980,-5.220,-1.851,-0.308,0.209,6.491,PID
20,1.0000,-5.541,2406.100,4.013,-5.453,-88.250,4.393,88.528,7.003,726955.0,726.96,38863.67,13263.67,1.909,0.953,-5.493,-1.623,-0.611,0.511,6.841,PID
21,1.0500,-5.812,2401.699,4.233,-5.426,-87.791,4.362,88.066,6.961,716121.0,716.12,38851.85,13251.85,1.881,0.992,-4.308,-1.210,28.000,0.956,7.190,PID
22,1.1000,-6.083,2397.321,4.450,-5.394,-87.330,4.350,87.605,6.929,705666.8,705.67,38840.16,13240.16,1.854,1.064,-4.005,-0.676,0.540,0.946,7.537,PID
23,1.1500,-6.352,2392.966,4.668,-5.361,-86.887,4.335,87.160,6.894,695477.2,695.48,38828.68,13228.68,1.828,1.139,-3.677,-0.120,0.567,0.973,7.882,PID
24,1.2000,-6.619,2388.632,4.884,-5.328,-86.457,4.317,86.728,6.858,685509.7,685.51,38817.37,13217.37,1.802,1.208,-3.350,0.430,0.555,0.961,8.226,PID
25,1.2500,-6.885,2384.320,5.099,-5.297,-86.039,4.297,86.309,6.821,675833.4,675.83,38806.22,13206.22,1.777,1.265,-3.041,0.959,0.531,0.937,8.567,PID
26,1.3000,-7.149,2380.028,5.313,-5.267,-85.634,4.275,85.902,6.784,666435.2,666.44,38795.23,13195.23,1.753,1.311,-2.753,1.463,0.496,0.901,8.907,PID
27,1.3500,-7.411,2375.756,5.527,-5.240,-85.241,4.252,85.507,6.748,657330.5,657.33,38784.38,13184.38,1.730,1.348,-2.484,1.945,0.475,0.881,9.245,PID
28,1.4000,-7.673,2371.504,5.739,-5.214,-84.859,4.228,85.124,6.713,648479.6,648.48,38773.68,13173.68,1.707,1.376,-2.228,2.409,0.461,0.867,9.581,PID
29,1.4500,-7.933,2367.270,5.949,-5.190,-84.488,4.202,84.752,6.678,639898.8,639.90,38763.13,13163.13,1.685,1.402,-1.979,2.865,0.461,0.867,9.916,PID
30,1.5000,-8.192,2363.055,6.159,-5.169,-84.129,4.176,84.391,6.645,631577.1,631.58,38752.71,13152.72,1.663,1.427,-1.725,3.320,0.482,0.887,10.249,PID
31,1.5500,-8.450,2358.857,6.367,-5.150,-83.780,4.148,84.040,6.612,623476.6,623.48,38742.44,13142.44,1.642,1.457,-1.457,3.788,0.535,0.941,10.580,PID
32,1.6000,-8.707,2354.677,6.574,-5.132,-83.441,4.118,83.700,6.580,615641.9,615.64,38732.29,13132.29,1.622,1.496,-1.161,4.281,0.609,1.015,10.910,PID
33,1.6500,-8.964,2350.512,6.779,-5.167,-83.118,4.088,83.379,6.589,609703.6,609.70,38722.22,13122.22,1.607,1.546,-0.832,2.960,0.671,-0.651,11.239,PID
34,1.7000,-9.223,2346.365,6.982,-5.178,-82.799,4.056,83.060,6.577,600738.1,600.74,38712.32,13112.32,1.584,1.592,-0.496,2.630,0.666,-0.646,11.568,PID
35,1.7500,-9.482,2342.232,7.184,-5.189,-82.489,4.025,82.750,6.567,593551.9,593.55,38702.54,13102.54,1.565,1.631,-0.173,2.312,0.636,-0.616,11.896,PID
36,1.8000,-9.742,2338.115,7.385,-5.202,-82.189,3.995,82.450,6.559,586592.3,586.59,38692.87,13092.87,1.547,1.658,0.129,2.015,0.600,-0.580,12.225,PID
37,1.8500,-10.002,2334.013,7.584,-5.215,-81.897,3.966,82.158,6.551,579822.3,579.82,38683.31,13083.31,1.530,1.673,0.408,1.741,0.556,-0.536,12.552,PID
38,1.9000,-10.263,2329.926,7.781,-5.228,-81.613,3.938,81.875,6.545,573232.9,573.23,38673.87,13073.87,1.513,1.676,0.660,1.494,0.508,-0.488,12.880,PID
39,1.9500,-10.525,2325.852,7.978,-5.242,-81.338,3.911,81.601,6.540,566842.9,566.84,38664.53,13064.53,1.496,1.668,0.886,1.274,0.456,-0.436,13.207,PID
40,2.0000,-10.788,2321.792,8.173,-5.256,-81.072,3.886,81.335,6.536,560644.1,560.64,38655.29,13055.29,1.480,1.649,1.085,1.079,0.409,-0.389,13.534,PID
41,2.0500,-11.051,2317.745,8.366,-5.269,-80.813,3.862,81.076,6.533,554627.8,554.63,38646.16,13046.16,1.465,1.621,1.261,0.909,0.363,-0.343,13.860,PID
42,2.1000,-11.314,2313.710,8.559,-5.283,-80.561,3.840,80.826,6.531,548786.6,548.79,38637.12,13037.12,1.449,1.585,1.413,0.760,0.322,-0.302,14.187,PID
43,2.1500,-11.579,2309.688,8.750,-5.296,-80.317,3.819,80.582,6.529,543085.8,543.09,38628.17,13028.17,1.435,1.543,1.545,0.633,0.277,-0.257,14.513,PID
44,2.2000,-11.844,2305.678,8.941,-5.309,-80.080,3.800,80.346,6.529,537572.6,537.57,38619.32,13019.32,1.420,1.495,1.660,0.523,0.251,-0.231,14.840,PID
45,2.2500,-12.110,2301.680,9.130,-5.322,-79.851,3.783,80.117,6.529,532213.0,532.21,38610.55,13010.56,1.407,1.444,1.757,0.430,0.215,-0.195,15.166,PID
46,2.3000,-12.376,2297.693,9.319,-5.334,-79.627,3.767,79.895,6.530,527026.9,527.03,38601.88,13001.88,1.393,1.390,1.842,0.349,0.190,-0.170,15.492,PID
47,2.3500,-12.643,2293.717,9.507,-5.346,-79.411,3.753,79.679,6.532,522008.2,522.01,38593.29,12993.28,1.380,1.335,1.916,0.279,0.170,-0.150,15.819,PID
48,2.4000,-12.911,2289.751,9.694,-5.359,-79.201,3.740,79.470,6.535,517095.0,517.10,38584.77,12984.77,1.368,1.280,1.982,0.218,0.156,-0.136,16.145,PID
49,2.4500,-13.179,2285.797,9.881,-5.371,-78.997,3.728,79.267,6.538,512364.1,512.36,38576.34,12976.34,1.355,1.226,2.042,0.162,0.151,-0.131,16.472,PID
50,2.5000,-13.448,2281.852,10.067,-5.382,-78.799,3.718,79.070,6.542,507726.2,507.73,38567.98,12967.98,1.343,1.175,2.099,0.108,0.148,-0.128,16.799,PID
51,2.5500,-13.717,2277.917,10.253,-5.394,-78.607,3.709,78.879,6.547,503258.3,503.26,38559.70,12959.70,1.332,1.127,2.156,0.055,0.148,-0.128,17.126,PID
52,2.6000,-13.987,2273.991,10.438,-5.406,-78.420,3.702,78.694,6.552,498927.6,498.93,38551.48,12951.49,1.321,1.084,2.216,-0.001,0.160,-0.140,17.453,PID
53,2.6500,-14.258,2270.074,10.623,-5.418,-78.239,3.695,78.514,6.558,494700.3,494.70,38543.34,12943.34,1.310,1.047,2.283,-0.064,0.187,-0.167,17.780,PID
54,2.7000,-14.529,2266.167,10.808,-5.430,-78.064,3.690,78.339,6.565,490598.7,490.60,38535.27,12935.27,1.299,1.018,2.358,-0.136,0.211,-0.191,18.108,PID
55,2.7500,-14.801,2262.268,10.992,-5.442,-77.893,3.685,78.170,6.573,486645.6,486.65,38527.27,12927.26,1.289,0.996,2.447,-0.221,0.250,-0.230,18.436,PID
56,2.8000,-15.073,2258.378,11.177,-5.454,-77.733,3.716,78.013,6.600,482285.0,482.29,38519.29,12919.29,1.278,0.983,1.294,-0.320,-0.393,-0.246,18.765,PID
57,2.8500,-15.346,2254.495,11.363,-5.466,-77.572,3.720,77.854,6.612,479158.9,479.16,38511.41,12911.41,1.270,0.969,1.136,-0.417,-0.380,-0.234,19.095,PID
58,2.9000,-15.620,2250.620,11.549,-5.478,-77.416,3.725,77.699,6.624,475532.5,475.53,38503.59,12903.58,1.260,0.952,0.983,-0.509,-0.377,-0.230,19.426,PID
59,2.9500,-15.894,2246.753,11.736,-5.489,-77.265,3.730,77.550,6.636,471979.6,471.98,38495.82,12895.82,1.251,0.934,0.837,-0.594,-0.361,-0.215,19.757,PID
60,3.0000,-16.169,2242.894,11.922,-5.499,-77.118,3.735,77.404,6.648,468550.5,468.55,38488.11,12888.11,1.242,0.912,0.700,-0.670,-0.334,-0.188,20.089,PID
61,3.0500,-16.444,2239.042,12.109,-5.509,-76.976,3.740,77.263,6.659,465212.8,465.21,38480.46,12880.46,1.234,0.887,0.573,-0.738,-0.314,-0.168,20.422,PID
62,3.1000,-16.720,2235.196,12.296,-5.518,-76.838,3.746,77.127,6.670,461990.0,461.99,38472.87,12872.87,1.225,0.858,0.456,-0.796,-0.291,-0.145,20.755,PID
63,3.1500,-16.996,2231.358,12.484,-5.527,-76.703,3.751,76.994,6.679,458850.7,458.85,38465.32,12865.32,1.217,0.827,0.348,-0.846,-0.266,-0.119,21.088,PID
64,3.2000,-17.272,2227.526,12.671,-5.534,-76.573,3.756,76.865,6.689,455790.3,455.79,38457.82,12857.83,1.209,0.793,0.250,-0.886,-0.249,-0.103,21.422,PID
65,3.2500,-17.549,2223.700,12.859,-5.541,-76.447,3.761,76.740,6.697,452831.8,452.83,38450.38,12850.38,1.202,0.757,0.161,-0.917,-0.230,-0.083,21.756,PID
66,3.3000,-17.827,2219.881,13.048,-5.547,-76.324,3.766,76.618,6.705,449945.2,449.95,38442.98,12842.98,1.194,0.718,0.081,-0.940,-0.208,-0.062,22.091,PID
67,3.3500,-18.104,2216.068,13.236,-5.553,-76.205,3.771,76.500,6.712,447153.4,447.15,38435.63,12835.63,1.187,0.678,0.010,-0.954,-0.171,-0.024,22.427,PID
68,3.4000,-18.382,2212.260,13.425,-5.557,-76.090,3.775,76.386,6.718,444453.5,444.45,38428.32,12828.32,1.180,0.637,-0.054,-0.961,-0.158,-0.012,22.762,PID
69,3.4500,-18.660,2208.459,13.614,-5.561,-75.978,3.779,76.275,6.724,441814.2,441.81,38421.06,12821.06,1.173,0.594,-0.109,-0.961,-0.145,0.001,23.098,PID
70,3.5000,-18.938,2204.663,13.803,-5.564,-75.869,3.783,76.167,6.729,439259.4,439.26,38413.84,12813.84,1.167,0.552,-0.159,-0.955,-0.132,0.015,23.434,PID
71,3.5500,-19.216,2200.872,13.992,-5.567,-75.763,3.787,76.062,6.733,436785.9,436.79,38406.66,12806.66,1.160,0.509,-0.202,-0.944,-0.118,0.028,23.770,PID
72,3.6000,-19.495,2197.086,14.181,-5.569,-75.661,3.790,75.960,6.736,434362.8,434.36,38399.52,12799.52,1.154,0.466,-0.240,-0.927,-0.105,0.042,24.107,PID
73,3.6500,-19.773,2193.306,14.371,-5.570,-75.562,3.793,75.861,6.739,432042.3,432.04,38392.42,12792.42,1.148,0.424,-0.273,-0.906,-0.070,0.076,24.444,PID
74,3.7000,-20.052,2189.530,14.561,-5.571,-75.465,3.796,75.766,6.742,429766.4,429.77,38385.36,12785.36,1.142,0.383,-0.302,-0.881,-0.056,0.090,24.781,PID
75,3.7500,-20.330,2185.759,14.750,-5.572,-75.371,3.799,75.673,6.743,427559.7,427.56,38378.34,12778.34,1.137,0.343,-0.327,-0.853,-0.071,0.076,25.118,PID
76,3.8000,-20.609,2181.993,14.940,-5.571,-75.281,3.801,75.582,6.744,425419.0,425.42,38371.34,12771.35,1.131,0.305,-0.351,-0.823,-0.064,0.083,25.455,PID
77,3.8500,-20.887,2178.231,15.131,-5.571,-75.192,3.803,75.494,6.745,423341.5,423.34,38364.39,12764.39,1.126,0.269,-0.373,-0.792,-0.060,0.086,25.792,PID
78,3.9000,-21.166,2174.474,15.321,-5.570,-75.107,3.805,75.409,6.745,421325.3,421.33,38357.47,12757.47,1.121,0.235,-0.392,-0.760,-0.062,0.084,26.129,PID
79,3.9500,-21.444,2170.720,15.511,-5.568,-75.024,3.807,75.327,6.745,419367.3,419.37,38350.58,12750.58,1.116,0.204,-0.413,-0.728,-0.072,0.075,26.466,PID
80,4.0000,-21.723,2166.971,15.701,-5.567,-74.943,3.808,75.246,6.745,417460.8,417.46,38343.72,12743.72,1.111,0.176,-0.436,-0.700,-0.093,0.054,26.803,PID
81,4.0500,-22.001,2163.226,15.892,-5.550,-74.867,3.809,75.169,6.732,414810.9,414.81,38336.89,12736.89,1.104,0.153,-0.463,-0.141,-0.069,-0.036,27.140,PID
82,4.1000,-22.278,2159.485,16.082,-5.549,-74.791,3.810,75.093,6.732,413771.2,413.77,38330.09,12730.09,1.102,0.130,-0.487,-0.152,-0.109,0.004,27.476,PID
83,4.1500,-22.556,2155.747,16.273,-5.549,-74.717,3.811,75.020,6.731,411992.2,411.99,38323.32,12723.32,1.097,0.107,-0.506,-0.168,-0.084,-0.021,27.813,PID
84,4.2000,-22.833,2152.013,16.463,-5.547,-74.646,3.812,74.949,6.731,410271.4,410.27,38316.59,12716.58,1.093,0.084,-0.525,-0.183,-0.054,-0.051,28.149,PID
85,4.2501,-23.110,2148.282,16.654,-5.546,-74.577,3.812,74.880,6.730,408552.7,408.55,38309.88,12709.87,1.088,0.063,-0.544,-0.199,-0.014,-0.091,28.486,PID
86,4.3001,-23.388,2144.555,16.845,-5.545,-74.510,3.812,74.813,6.729,406889.9,406.89,38303.19,12703.19,1.084,0.052,-0.572,-0.204,-0.149,0.044,28.822,PID
87,4.3501,-23.665,2140.831,17.035,-5.543,-74.445,3.808,74.748,6.725,406002.8,406.00,38296.54,12696.53,1.082,0.056,-0.443,-0.183,-0.106,0.046,29.159,PID
88,4.4001,-23.942,2137.111,17.226,-5.540,-74.382,3.807,74.685,6.722,403649.5,403.65,38289.91,12689.91,1.076,0.071,-0.456,-0.146,-0.100,0.051,29.495,PID
89,4.4501,-24.219,2133.393,17.416,-5.537,-74.321,3.806,74.624,6.719,402092.3,402.09,38283.30,12683.30,1.072,0.086,-0.463,-0.102,-0.094,0.057,29.831,PID
90,4.5001,-24.496,2129.678,17.606,-5.534,-74.262,3.805,74.565,6.715,400559.0,400.56,38276.73,12676.73,1.068,0.105,-0.461,-0.051,0.006,0.158,30.166,PID
91,4.5501,-24.772,2125.967,17.796,-5.530,-74.205,3.803,74.508,6.712,399076.0,399.08,38270.17,12670.17,1.064,0.122,-0.460,0.000,0.000,0.151,30.502,PID
92,4.6001,-25.049,2122.258,17.987,-5.527,-74.150,3.801,74.453,6.708,397615.3,397.62,38263.64,12663.64,1.060,0.140,-0.454,0.055,-0.002,0.149,30.837,PID
93,4.6501,-25.325,2118.552,18.177,-5.524,-74.097,3.799,74.399,6.704,396203.2,396.20,38257.14,12657.14,1.057,0.157,-0.448,0.110,-0.003,0.149,31.173,PID
94,4.7001,-25.601,2114.848,18.366,-5.520,-74.045,3.796,74.348,6.700,394810.6,394.81,38250.66,12650.66,1.053,0.175,-0.438,0.169,0.054,0.205,31.508,PID
95,4.7501,-25.877,2111.147,18.556,-5.517,-73.995,3.794,74.298,6.695,393464.5,393.46,38244.20,12644.19,1.050,0.192,-0.427,0.229,0.051,0.202,31.843,PID
96,4.8001,-26.153,2107.449,18.746,-5.514,-73.947,3.791,74.249,6.691,392108.0,392.11,38237.76,12637.76,1.046,0.209,-0.414,0.290,0.051,0.202,32.177,PID
97,4.8501,-26.428,2103.752,18.935,-5.510,-73.901,3.787,74.203,6.686,390824.0,390.82,38231.34,12631.34,1.043,0.227,-0.396,0.355,0.051,0.203,32.511,PID
98,4.9001,-26.704,2100.059,19.125,-5.507,-73.856,3.784,74.157,6.682,389555.9,389.56,38224.95,12624.95,1.040,0.245,-0.377,0.422,0.053,0.205,32.846,PID
99,4.9501,-26.980,2096.367,19.314,-5.528,-73.836,3.780,74.139,6.697,401141.1,401.14,38218.45,12618.45,1.071,0.263,-0.355,-0.401,0.092,-25.090,33.180,PID
100,5.0001,-27.255,2092.676,19.503,-5.528,-73.829,3.777,74.132,6.695,402151.2,402.15,38211.87,12611.87,1.074,0.280,-0.332,-0.421,0.094,-26.771,33.514,PID
101,5.0501,-27.531,2088.984,19.691,-5.527,-73.819,3.773,74.122,6.692,402309.7,402.31,38205.32,12605.32,1.074,0.297,-0.310,-0.420,0.064,-28.000,33.848,PID
102,5.1001,-27.807,2085.293,19.880,-5.525,-73.811,3.769,74.113,6.688,398496.6,398.50,38198.77,12598.77,1.064,0.312,-0.287,-0.414,0.068,-28.000,34.182,PID
103,5.1501,-28.083,2081.603,20.068,-5.501,-73.799,3.764,74.099,6.666,378852.7,378.85,38192.26,12592.26,1.012,0.325,-0.262,0.437,0.101,28.000,34.516,PID
104,5.2001,-28.358,2077.914,20.256,-5.500,-73.790,3.760,74.090,6.663,397460.8,397.46,38185.71,12585.72,1.062,0.337,-0.238,0.407,0.076,28.000,34.850,PID
105,5.2501,-28.634,2074.225,20.444,-5.499,-73.783,3.756,74.083,6.659,400329.4,400.33,38179.19,12579.19,1.070,0.349,-0.214,0.403,0.080,28.000,35.183,PID
106,5.3001,-28.909,2070.536,20.632,-5.498,-73.776,3.751,74.076,6.656,396683.9,396.68,38172.67,12572.67,1.060,0.359,-0.190,0.410,0.084,28.000,35.516,PID
107,5.3501,-29.185,2066.847,20.819,-5.496,-73.770,3.747,74.070,6.652,377819.4,377.82,38166.16,12566.17,1.010,0.367,-0.166,0.441,0.088,28.000,35.849,PID
108,5.4001,-29.460,2063.158,21.006,-5.495,-73.764,3.742,74.063,6.648,376785.9,376.79,38159.66,12559.66,1.008,0.375,-0.143,0.435,0.066,28.000,36.182,PID
109,5.4501,-29.735,2059.469,21.193,-5.495,-73.758,3.738,74.057,6.645,395319.3,395.32,38153.15,12553.15,1.057,0.382,-0.120,0.406,0.070,28.000,36.515,PID
110,5.5001,-30.011,2055.782,21.380,-5.516,-73.749,3.733,74.049,6.661,375878.3,375.88,38146.70,12546.70,1.005,0.387,-0.097,-0.434,0.073,-28.000,36.848,PID
