step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,-0.426,2495.010,0.095,-8.540,-99.572,1.943,99.957,8.759,707171.6,707.17,40018.77,14418.76,1.803,5.050,-0.964,-0.965,-2.022,-2.023,0.436,Fuzzy
2,0.1000,-0.854,2490.042,0.194,-8.587,-99.147,2.056,99.539,8.830,706501.8,706.50,40007.18,14407.18,1.802,4.954,-2.316,-2.318,-2.697,-2.701,0.876,Fuzzy
3,0.1500,-1.285,2485.096,0.300,-8.642,-98.724,2.176,99.125,8.911,705841.6,705.84,39995.60,14395.60,1.801,4.771,-4.007,-4.012,-3.241,-3.248,1.320,Fuzzy
4,0.2000,-1.718,2480.170,0.412,-8.700,-98.302,2.299,98.713,8.999,705189.9,705.19,39984.04,14384.04,1.800,4.492,-5.945,-5.955,-3.609,-3.618,1.767,Fuzzy
5,0.2500,-2.155,2475.265,0.530,-8.764,-97.883,2.429,98.305,9.094,704546.9,704.55,39972.48,14372.48,1.799,4.117,-8.272,-8.293,-4.796,-4.826,2.219,Fuzzy
6,0.3000,-2.591,2470.382,0.655,-8.694,-97.469,2.578,97.889,9.069,703915.4,703.92,39960.93,14360.93,1.798,3.632,-11.611,-5.924,-7.176,3.503,2.673,Fuzzy
7,0.3500,-3.025,2465.518,0.789,-8.636,-97.063,2.772,97.485,9.070,703301.0,703.30,39949.40,14349.40,1.797,2.957,-16.904,-4.153,-11.742,2.925,3.126,Fuzzy
8,0.4000,-3.455,2460.675,0.934,-8.584,-96.678,3.040,97.106,9.106,702719.0,702.72,39937.88,14337.88,1.796,1.981,-25.415,-2.741,-18.912,2.297,3.579,Fuzzy
9,0.4500,-3.883,2455.850,1.095,-8.541,-96.329,3.402,96.767,9.193,702192.1,702.19,39926.36,14326.36,1.795,0.875,-38.049,-1.759,-25.177,1.533,4.034,Fuzzy
10,0.5000,-4.309,2451.042,1.262,-8.509,-95.991,3.169,96.419,9.080,701687.3,701.69,39914.85,14314.85,1.794,1.799,-29.828,-1.036,24.120,1.404,4.490,Fuzzy
11,0.5500,-4.734,2446.251,1.412,-8.477,-95.625,2.849,96.043,8.943,701153.9,701.15,39903.36,14303.35,1.793,2.887,-19.194,-0.355,15.135,1.152,4.940,Fuzzy
12,0.6000,-5.157,2441.480,1.548,-8.448,-95.229,2.626,95.639,8.846,700578.2,700.58,39891.87,14291.87,1.792,3.622,-12.709,0.201,9.018,1.045,5.385,Fuzzy
13,0.6500,-5.579,2436.729,1.675,-8.412,-94.819,2.462,95.223,8.765,699987.8,699.99,39880.38,14280.38,1.791,4.120,-8.815,0.955,5.590,1.621,5.825,Fuzzy
14,0.7000,-5.998,2431.998,1.795,-8.367,-94.406,2.328,94.804,8.685,699396.4,699.40,39868.91,14268.91,1.790,4.463,-6.237,2.073,3.901,2.339,6.261,Fuzzy
15,0.7500,-6.415,2427.288,1.908,-8.313,-93.992,2.204,94.385,8.600,698808.9,698.81,39857.45,14257.45,1.789,4.691,-4.243,3.602,3.360,3.056,6.693,Fuzzy
16,0.8000,-6.829,2422.599,2.016,-8.251,-93.579,2.084,93.965,8.510,698227.1,698.23,39846.00,14246.00,1.788,4.824,-2.508,5.495,2.838,3.659,7.121,Fuzzy
17,0.8500,-7.240,2417.930,2.117,-8.181,-93.168,1.972,93.547,8.415,696003.9,696.00,39834.57,14234.57,1.783,4.889,-1.118,7.820,2.179,4.854,7.543,Fuzzy
18,0.9000,-7.649,2413.282,2.213,-8.210,-92.759,1.870,93.141,8.421,693711.9,693.71,39823.18,14223.18,1.778,4.921,-0.118,6.714,1.489,-4.481,7.963,Fuzzy
19,0.9500,-8.061,2408.654,2.304,-8.274,-92.352,1.773,92.738,8.461,691428.1,691.43,39811.83,14211.83,1.772,4.926,0.740,4.555,1.818,-3.580,8.384,Fuzzy
20,1.0000,-8.476,2404.047,2.390,-8.331,-91.948,1.667,92.339,8.496,689165.6,689.17,39800.52,14200.52,1.767,4.880,1.950,2.742,2.490,-2.972,8.807,Fuzzy
21,1.0500,-8.894,2399.460,2.471,-8.380,-91.547,1.553,91.943,8.523,686923.8,686.92,39789.24,14189.24,1.762,4.758,3.502,1.314,3.069,-2.241,9.231,Fuzzy
22,1.1000,-9.314,2394.892,2.545,-8.419,-91.149,1.434,91.549,8.540,684700.4,684.70,39778.00,14178.00,1.757,4.544,5.320,0.312,3.489,-1.477,9.656,Fuzzy
23,1.1500,-9.736,2390.345,2.614,-8.449,-90.755,1.313,91.156,8.550,682494.4,682.49,39766.79,14166.79,1.751,4.228,7.398,-0.362,4.269,-1.265,10.081,Fuzzy
24,1.2000,-10.159,2385.817,2.676,-8.483,-90.365,1.177,90.770,8.564,680317.4,680.32,39755.63,14155.62,1.746,3.785,10.225,-1.185,6.123,-1.727,10.506,Fuzzy
25,1.2500,-10.584,2381.308,2.731,-8.523,-89.984,1.010,90.392,8.583,678187.2,678.19,39744.49,14144.49,1.741,3.161,14.485,-2.255,9.699,-2.181,10.931,Fuzzy
26,1.3000,-11.012,2376.818,2.776,-8.567,-89.620,0.785,90.032,8.603,676144.4,676.14,39733.39,14133.39,1.737,2.254,21.255,-3.512,15.338,-2.510,11.356,Fuzzy
27,1.3500,-11.441,2372.346,2.808,-8.611,-89.287,0.475,89.703,8.624,674264.2,674.26,39722.32,14122.32,1.732,0.918,31.764,-4.819,23.788,-2.559,11.781,Fuzzy
28,1.4000,-11.872,2367.889,2.828,-8.644,-88.976,0.477,89.396,8.657,672524.7,672.52,39711.29,14111.29,1.728,0.898,31.636,-6.004,-24.126,-2.661,12.205,Fuzzy
29,1.4500,-12.304,2363.448,2.860,-8.612,-88.650,0.791,89.070,8.649,670721.5,670.72,39700.27,14100.28,1.724,2.170,20.807,-5.060,-16.361,2.944,12.632,Fuzzy
30,1.5000,-12.734,2359.025,2.905,-8.563,-88.294,1.012,88.714,8.622,668755.3,668.76,39689.30,14089.30,1.719,3.029,13.982,-3.560,-10.136,2.711,13.061,Fuzzy
