step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,-0.001,1597.253,0.000,-0.025,-54.887,0.000,54.887,0.025,466052.8,466.05,39592.35,13992.35,1.201,1.195,0.000,-0.179,-0.381,-1.213,0.001,Neural
2,0.1000,-0.002,1594.511,0.000,-0.049,-54.776,0.000,54.776,0.049,464633.7,464.63,39584.72,13984.72,1.198,1.182,0.000,-0.345,0.377,-1.140,0.002,Neural
3,0.1500,-0.006,1591.775,0.000,-0.073,-54.667,0.000,54.667,0.073,463219.5,463.22,39577.12,13977.12,1.194,1.160,0.000,-0.498,-0.371,-1.062,0.006,Neural
4,0.2000,-0.010,1589.044,0.000,-0.095,-54.560,0.000,54.560,0.095,461811.5,461.81,39569.54,13969.54,1.191,1.131,0.000,-0.639,0.362,-0.982,0.010,Neural
5,0.2500,-0.015,1586.319,0.000,-0.115,-54.454,0.000,54.454,0.115,460410.8,460.41,39561.98,13961.98,1.187,1.096,0.000,-0.766,-0.351,-0.899,0.015,Neural
6,0.3000,-0.021,1583.599,0.000,-0.135,-54.349,0.000,54.350,0.135,459018.5,459.02,39554.44,13954.44,1.184,1.054,0.000,-0.879,0.338,-0.814,0.021,Neural
7,0.3500,-0.028,1580.884,0.000,-0.153,-54.247,0.000,54.247,0.153,457636.1,457.64,39546.93,13946.93,1.181,1.007,0.000,-0.980,-0.323,-0.729,0.028,Neural
8,0.4000,-0.037,1578.174,0.000,-0.170,-54.146,0.000,54.146,0.170,456265.0,456.27,39539.44,13939.44,1.177,0.956,0.000,-1.067,0.307,-0.643,0.037,Neural
9,0.4500,-0.045,1575.469,0.000,-0.185,-54.046,0.000,54.047,0.185,454906.4,454.91,39531.97,13931.97,1.174,0.900,0.000,-1.141,-0.289,-0.558,0.045,Neural
10,0.5000,-0.055,1572.769,0.000,-0.199,-53.949,0.000,53.949,0.199,453560.8,453.56,39524.52,13924.52,1.171,0.842,0.000,-1.202,0.271,-0.473,0.055,Neural
11,0.5500,-0.065,1570.074,0.000,-0.211,-53.853,0.000,53.853,0.211,452229.7,452.23,39517.10,13917.10,1.168,0.780,0.000,-1.251,-0.252,-0.390,0.065,Neural
12,0.6000,-0.076,1567.384,0.000,-0.222,-53.758,0.000,53.758,0.222,450914.0,450.91,39509.70,13909.70,1.164,0.717,0.000,-1.288,0.231,-0.309,0.076,Neural
13,0.6500,-0.088,1564.698,0.000,-0.232,-53.665,0.000,53.665,0.232,449615.3,449.62,39502.32,13902.32,1.161,0.652,0.000,-1.313,-0.211,-0.231,0.088,Neural
14,0.7000,-0.099,1562.017,0.000,-0.240,-53.573,0.000,53.574,0.240,448333.9,448.33,39494.96,13894.96,1.158,0.586,0.000,-1.327,0.190,-0.155,0.099,Neural
15,0.7500,-0.111,1559.341,0.000,-0.246,-53.483,0.000,53.484,0.246,447070.9,447.07,39487.62,13887.62,1.155,0.519,0.000,-1.331,-0.169,-0.083,0.111,Neural
16,0.8000,-0.124,1556.669,0.000,-0.251,-53.395,0.000,53.396,0.251,445827.3,445.83,39480.30,13880.30,1.152,0.452,0.000,-1.325,0.148,-0.014,0.124,Neural
17,0.8500,-0.137,1554.001,0.000,-0.255,-53.308,0.000,53.309,0.255,444603.1,444.60,39473.00,13873.00,1.149,0.387,0.000,-1.310,-0.127,0.051,0.137,Neural
18,0.9000,-0.149,1551.338,0.000,-0.258,-53.223,0.000,53.223,0.258,443399.5,443.40,39465.73,13865.72,1.146,0.321,0.000,-1.287,0.106,0.112,0.149,Neural
19,0.9500,-0.162,1548.679,0.000,-0.259,-53.138,0.000,53.139,0.259,442217.6,442.22,39458.46,13858.47,1.143,0.258,0.000,-1.256,-0.086,0.169,0.162,Neural
20,1.0000,-0.175,1546.024,0.000,-0.260,-53.056,0.000,53.056,0.260,441056.8,441.06,39451.23,13851.23,1.141,0.196,0.000,-1.217,0.067,0.221,0.175,Neural
21,1.0500,-0.188,1543.374,0.000,-0.259,-52.975,0.000,52.975,0.259,439917.5,439.92,39444.01,13844.01,1.138,0.137,0.000,-1.173,0.048,0.269,0.188,Neural
22,1.1000,-0.201,1540.727,0.000,-0.257,-52.895,0.000,52.895,0.257,438798.3,438.80,39436.80,13836.80,1.135,0.079,-0.001,-1.122,-0.029,0.313,0.201,Neural
23,1.1500,-0.214,1538.084,0.000,-0.254,-52.816,0.000,52.817,0.254,437701.9,437.70,39429.62,13829.62,1.133,0.020,-0.001,-1.067,0.012,0.352,0.214,Neural
24,1.2000,-0.227,1535.445,0.000,-0.250,-52.739,0.000,52.739,0.250,436719.5,436.72,39422.45,13822.45,1.130,0.028,0.000,-1.008,0.009,0.385,0.227,Neural
