step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,-0.219,2495.010,0.241,-4.365,-99.614,4.804,99.826,6.491,664292.7,664.29,39763.98,14163.98,1.705,2.671,0.130,0.201,0.284,0.437,0.326,Hybrid
2,0.1000,-0.436,2490.039,0.480,-4.339,-99.230,4.763,99.439,6.443,663587.0,663.59,39753.10,14153.10,1.704,2.653,0.313,0.481,0.394,0.603,0.649,Hybrid
3,0.1500,-0.653,2485.087,0.717,-4.310,-98.846,4.720,99.053,6.392,662847.6,662.85,39742.23,14142.23,1.702,2.618,0.563,0.859,0.536,0.805,0.970,Hybrid
4,0.2000,-0.867,2480.154,0.952,-4.279,-98.464,4.676,98.668,6.338,662062.3,662.06,39731.37,14131.37,1.701,2.561,0.897,1.354,0.710,1.037,1.288,Hybrid
5,0.2500,-1.081,2475.240,1.185,-4.245,-98.083,4.630,98.284,6.282,661216.8,661.22,39720.52,14120.52,1.699,2.474,1.330,1.976,0.910,1.288,1.604,Hybrid
6,0.3000,-1.292,2470.346,1.415,-4.209,-97.703,4.582,97.901,6.222,660297.1,660.30,39709.69,14109.69,1.697,2.353,1.874,2.731,1.127,1.541,1.916,Hybrid
7,0.3500,-1.501,2465.470,1.643,-4.172,-97.325,4.532,97.520,6.160,659292.1,659.29,39698.88,14098.87,1.695,2.192,2.533,3.614,1.347,1.779,2.226,Hybrid
8,0.4000,-1.709,2460.613,1.868,-4.134,-96.948,4.480,97.140,6.096,658197.6,658.20,39688.07,14088.07,1.692,1.990,3.304,4.613,1.556,1.990,2.532,Hybrid
9,0.4500,-1.915,2455.775,2.091,-4.097,-96.573,4.429,96.761,6.033,657024.6,657.02,39677.29,14077.29,1.690,1.751,4.176,5.710,1.740,2.164,2.835,Hybrid
10,0.5000,-2.119,2450.956,2.311,-4.067,-96.199,4.378,96.385,5.976,655818.7,655.82,39666.53,14066.53,1.687,1.498,5.133,6.665,1.894,-2.598,3.136,Hybrid
