step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
32,1.6000,-0.338,1516.085,0.000,-0.147,-50.355,0.001,50.355,0.147,459954.8,459.95,39342.14,13742.14,1.193,0.613,-0.008,-0.228,0.192,0.698,0.338,Hybrid
33,1.6500,-0.345,1513.570,0.000,-0.134,-50.250,0.000,50.250,0.134,458366.4,458.37,39334.61,13734.61,1.189,0.621,0.003,-0.129,-0.193,0.670,0.345,Hybrid
34,1.7000,-0.351,1511.060,0.000,-0.121,-50.146,0.000,50.147,0.121,456806.5,456.81,39327.11,13727.11,1.185,0.625,0.003,-0.035,0.192,0.639,0.351,Hybrid
35,1.7500,-0.357,1508.555,0.000,-0.108,-50.045,0.001,50.045,0.108,455274.2,455.27,39319.63,13719.63,1.181,0.624,-0.008,0.054,-0.191,0.620,0.357,Hybrid
36,1.8000,-0.362,1506.055,0.000,-0.096,-49.946,-0.001,49.946,0.096,453769.3,453.77,39312.18,13712.18,1.178,0.619,0.008,0.140,-0.194,0.611,0.362,Hybrid
37,1.8500,-0.366,1503.561,0.000,-0.084,-49.848,0.000,49.848,0.084,452291.1,452.29,39304.76,13704.76,1.174,0.610,-0.003,0.223,0.190,0.597,0.366,Hybrid
38,1.9000,-0.370,1501.071,0.000,-0.072,-49.752,0.000,49.752,0.072,450839.3,450.84,39297.36,13697.35,1.170,0.597,-0.003,0.303,-0.184,0.579,0.370,Hybrid
39,1.9500,-0.373,1498.585,0.000,-0.060,-49.658,-0.001,49.658,0.060,449413.2,449.41,39289.98,13689.98,1.167,0.579,0.008,0.380,0.179,0.558,0.373,Hybrid
40,2.0000,-0.376,1496.105,0.000,-0.049,-49.566,0.001,49.566,0.049,448012.6,448.01,39282.62,13682.62,1.164,0.558,-0.012,0.452,-0.172,0.532,0.376,Hybrid
41,2.0500,-0.378,1493.629,0.000,-0.038,-49.475,-0.001,49.475,0.038,446636.9,446.64,39275.29,13675.29,1.160,0.534,0.012,0.520,0.165,0.503,0.378,Hybrid
42,2.1000,-0.380,1491.157,0.000,-0.028,-49.386,0.000,49.386,0.028,445285.6,445.29,39267.98,13667.98,1.157,0.506,-0.007,0.582,-0.158,0.471,0.380,Hybrid
43,2.1500,-0.381,1488.690,0.000,-0.019,-49.298,0.000,49.298,0.019,443958.3,443.96,39260.69,13660.69,1.154,0.476,-0.002,0.639,0.150,0.437,0.381,Hybrid
44,2.2000,-0.382,1486.227,0.000,-0.010,-49.213,-0.001,49.213,0.010,442654.6,442.65,39253.42,13653.42,1.150,0.442,0.014,0.691,-0.145,0.400,0.382,Hybrid
45,2.2500,-0.382,1483.769,0.000,-0.002,-49.128,0.000,49.128,0.003,441374.1,441.37,39246.18,13646.18,1.147,0.406,-0.005,0.736,-0.128,0.360,0.382,Hybrid
