step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,-0.400,1796.413,0.232,-8.107,-71.469,4.535,72.070,9.289,845000.0,845.00,39954.07,14354.08,2.158,9.415,1.293,-1.428,4.710,-5.300,0.462,PID
2,0.1000,-0.810,1792.854,0.454,-8.319,-70.917,4.348,71.535,9.387,845000.0,845.00,39940.22,14340.22,2.159,9.283,2.119,-2.360,3.636,-4.110,0.929,PID
3,0.1500,-1.231,1789.322,0.667,-8.510,-70.358,4.180,70.994,9.481,845000.0,845.00,39926.36,14326.36,2.159,9.098,2.730,-3.055,2.784,-3.166,1.400,PID
4,0.2000,-1.661,1785.818,0.872,-8.683,-69.793,4.027,70.446,9.572,845000.0,845.00,39912.50,14312.50,2.160,8.874,3.172,-3.560,2.109,-2.416,1.876,PID
5,0.2500,-2.099,1782.342,1.070,-8.841,-69.224,3.889,69.895,9.659,845000.0,845.00,39898.64,14298.65,2.161,8.622,3.480,-3.917,1.576,-1.821,2.356,PID
6,0.3000,-2.545,1778.895,1.261,-8.987,-68.651,3.762,69.339,9.742,845000.0,845.00,39884.79,14284.79,2.162,8.351,3.683,-4.156,1.156,-1.351,2.840,PID
7,0.3500,-2.998,1775.477,1.446,-9.121,-68.076,3.645,68.781,9.822,845000.0,845.00,39870.93,14270.93,2.162,8.067,3.804,-4.303,0.826,-0.980,3.328,PID
8,0.4000,-3.457,1772.088,1.626,-9.245,-67.499,3.537,68.220,9.898,845000.0,845.00,39857.07,14257.07,2.163,7.777,3.862,-4.378,0.566,-0.686,3.820,PID
9,0.4500,-3.922,1768.727,1.800,-9.360,-66.919,3.436,67.658,9.971,845000.0,845.00,39843.21,14243.22,2.164,7.485,3.871,-4.397,0.364,-0.456,4.315,PID
10,0.5000,-4.393,1765.396,1.970,-9.468,-66.338,3.342,67.094,10.040,845000.0,845.00,39829.36,14229.36,2.165,7.192,3.843,-4.374,0.207,-0.275,4.814,PID
