step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.119,1796.414,-0.155,2.303,-71.436,-3.074,71.539,3.840,845000.0,845.00,39985.05,14385.04,2.156,5.327,-0.628,-1.049,-1.482,-3.477,0.196,PID
2,0.1000,0.231,1792.856,-0.308,2.154,-70.858,-3.019,70.955,3.708,845000.0,845.00,39971.19,14371.19,2.157,5.248,-0.877,-1.663,-1.092,-2.723,0.384,PID
3,0.1500,0.335,1789.328,-0.457,2.019,-70.278,-2.971,70.370,3.592,845000.0,845.00,39957.33,14357.33,2.158,5.141,-1.051,-2.124,-0.792,-2.119,0.567,PID
4,0.2000,0.433,1785.829,-0.605,1.896,-69.697,-2.929,69.784,3.489,845000.0,845.00,39943.47,14343.47,2.158,5.014,-1.166,-2.463,-0.560,-1.634,0.744,PID
5,0.2500,0.525,1782.358,-0.750,1.783,-69.114,-2.892,69.197,3.397,845000.0,845.00,39929.62,14329.62,2.159,4.871,-1.236,-2.705,-0.382,-1.246,0.915,PID
6,0.3000,0.611,1778.917,-0.894,1.678,-68.530,-2.859,68.610,3.315,845000.0,845.00,39915.76,14315.76,2.160,4.719,-1.273,-2.869,-0.248,-0.937,1.083,PID
7,0.3500,0.693,1775.505,-1.036,1.582,-67.945,-2.829,68.023,3.241,845000.0,845.00,39901.90,14301.90,2.161,4.560,-1.284,-2.973,-0.145,-0.690,1.246,PID
8,0.4000,0.769,1772.123,-1.177,1.492,-67.360,-2.802,67.435,3.174,845000.0,845.00,39888.04,14288.04,2.161,4.397,-1.277,-3.028,-0.068,-0.493,1.406,PID
9,0.4500,0.842,1768.770,-1.316,1.408,-66.774,-2.777,66.847,3.113,845000.0,845.00,39874.19,14274.19,2.162,4.233,-1.256,-3.046,-0.011,-0.336,1.563,PID
10,0.5000,0.910,1765.446,-1.455,1.329,-66.188,-2.754,66.258,3.058,845000.0,845.00,39860.33,14260.33,2.163,4.069,-1.226,-3.034,0.030,-0.213,1.716,PID
11,0.5500,0.975,1762.151,-1.592,1.255,-65.601,-2.733,65.670,3.008,845000.0,845.00,39846.47,14246.47,2.164,3.908,-1.189,-3.000,0.061,-0.115,1.867,PID
12,0.6000,1.036,1758.885,-1.728,1.186,-65.014,-2.714,65.081,2.962,845000.0,845.00,39832.61,14232.61,2.164,3.748,-1.147,-2.949,0.080,-0.041,2.015,PID
13,0.6500,1.094,1755.649,-1.863,1.121,-64.435,-2.696,64.501,2.920,830882.6,830.88,39818.88,14218.88,2.129,3.593,-1.103,-2.885,0.095,0.019,2.160,PID
14,0.7000,1.148,1752.442,-1.998,1.061,-63.875,-2.680,63.940,2.882,816429.6,816.43,39805.39,14205.39,2.093,3.441,-1.058,-2.812,0.105,0.066,2.304,PID
15,0.7500,1.200,1749.262,-2.131,1.005,-63.333,-2.665,63.397,2.848,802418.7,802.42,39792.14,14192.14,2.057,3.294,-1.013,-2.732,0.111,0.101,2.446,PID
16,0.8000,1.249,1746.108,-2.264,0.953,-62.807,-2.651,62.870,2.817,788864.4,788.86,39779.10,14179.10,2.023,3.151,-0.968,-2.649,0.112,0.127,2.586,PID
17,0.8500,1.295,1742.981,-2.396,0.904,-62.298,-2.638,62.361,2.789,775712.9,775.71,39766.29,14166.29,1.990,3.013,-0.925,-2.563,0.114,0.148,2.724,PID
18,0.9000,1.339,1739.878,-2.528,0.859,-61.806,-2.627,61.867,2.763,762544.8,762.54,39753.69,14153.69,1.957,2.880,-0.882,-2.476,0.115,0.165,2.861,PID
19,0.9500,1.381,1736.799,-2.659,0.816,-61.330,-2.616,61.391,2.740,748758.1,748.76,39741.31,14141.31,1.922,2.752,-0.841,-2.389,0.113,0.175,2.996,PID
20,1.0000,1.421,1733.744,-2.790,0.777,-60.871,-2.606,60.932,2.719,735457.6,735.46,39729.16,14129.16,1.889,2.628,-0.802,-2.302,0.112,0.185,3.130,PID
21,1.0500,1.459,1730.712,-2.920,0.740,-60.428,-2.597,60.489,2.700,722633.7,722.63,39717.22,14117.22,1.856,2.509,-0.764,-2.217,0.111,0.192,3.264,PID
22,1.1000,1.495,1727.701,-3.049,0.706,-60.001,-2.588,60.061,2.683,710261.0,710.26,39705.48,14105.49,1.825,2.395,-0.727,-2.133,0.108,0.195,3.396,PID
23,1.1500,1.529,1724.711,-3.178,0.674,-59.590,-2.581,59.649,2.667,698332.2,698.33,39693.95,14093.95,1.795,2.285,-0.692,-2.051,0.104,0.196,3.527,PID
24,1.2000,1.562,1721.742,-3.307,0.644,-59.192,-2.573,59.252,2.653,686840.0,686.84,39682.61,14082.61,1.766,2.179,-0.659,-1.971,0.100,0.197,3.658,PID
25,1.2500,1.594,1718.792,-3.436,0.616,-58.809,-2.567,58.869,2.640,675744.4,675.74,39671.45,14071.45,1.738,2.078,-0.627,-1.894,0.100,0.200,3.787,PID
26,1.3000,1.624,1715.861,-3.564,0.590,-58.440,-2.561,58.499,2.628,665040.3,665.04,39660.47,14060.47,1.711,1.981,-0.597,-1.819,0.098,0.199,3.916,PID
27,1.3500,1.653,1712.948,-3.692,0.565,-58.083,-2.555,58.142,2.617,654723.0,654.72,39649.66,14049.66,1.685,1.887,-0.568,-1.746,0.097,0.199,4.045,PID
28,1.4000,1.680,1710.052,-3.820,0.543,-57.740,-2.550,57.799,2.607,644771.7,644.77,39639.02,14039.02,1.660,1.798,-0.541,-1.675,0.089,0.193,4.173,PID
29,1.4500,1.707,1707.174,-3.947,0.521,-57.408,-2.545,57.467,2.598,635166.6,635.17,39628.53,14028.53,1.635,1.712,-0.514,-1.607,0.091,0.195,4.300,PID
30,1.5000,1.733,1704.311,-4.074,0.501,-57.089,-2.541,57.147,2.590,625904.8,625.90,39618.20,14018.20,1.612,1.630,-0.489,-1.541,0.086,0.190,4.427,PID
31,1.5500,1.757,1701.465,-4.201,0.483,-56.780,-2.537,56.839,2.583,616985.4,616.99,39608.02,14008.02,1.589,1.552,-0.465,-1.478,0.083,0.187,4.554,PID
32,1.6000,1.781,1698.633,-4.328,0.465,-56.483,-2.534,56.542,2.576,608372.8,608.37,39597.98,13997.99,1.568,1.476,-0.442,-1.416,0.078,0.182,4.680,PID
33,1.6500,1.804,1695.816,-4.454,0.449,-56.196,-2.530,56.255,2.570,600066.8,600.07,39588.09,13988.09,1.546,1.404,-0.421,-1.357,0.076,0.178,4.806,PID
34,1.7000,1.826,1693.013,-4.581,0.434,-55.920,-2.527,55.979,2.564,592050.1,592.05,39578.32,13978.32,1.526,1.335,-0.400,-1.301,0.076,0.177,4.931,PID
35,1.7500,1.847,1690.224,-4.707,0.420,-55.653,-2.524,55.712,2.559,584323.7,584.32,39568.69,13968.69,1.507,1.269,-0.380,-1.246,0.070,0.170,5.057,PID
36,1.8000,1.868,1687.447,-4.833,0.406,-55.396,-2.522,55.455,2.554,576872.0,576.87,39559.17,13959.17,1.488,1.206,-0.361,-1.194,0.072,0.171,5.182,PID
37,1.8500,1.888,1684.684,-4.959,0.394,-55.148,-2.520,55.207,2.550,569679.7,569.68,39549.78,13949.78,1.470,1.145,-0.344,-1.143,0.067,0.164,5.306,PID
38,1.9000,1.907,1681.933,-5.085,0.382,-54.909,-2.517,54.968,2.546,562749.4,562.75,39540.50,13940.50,1.452,1.087,-0.326,-1.094,0.066,0.161,5.431,PID
39,1.9500,1.926,1679.193,-5.211,0.372,-54.678,-2.516,54.737,2.543,556067.1,556.07,39531.34,13931.34,1.435,1.032,-0.310,-1.048,0.063,0.157,5.556,PID
