step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.022,2495.014,0.046,0.397,-99.409,0.981,99.414,1.058,845000.0,845.00,39183.34,13583.34,2.201,5.266,-2.519,-2.736,-1.277,-1.278,0.052,PID
2,0.1000,0.040,2490.059,0.098,0.312,-98.786,1.074,98.793,1.118,845000.0,845.00,39169.48,13569.48,2.202,5.051,-3.267,-3.484,-0.952,-0.952,0.106,PID
3,0.1500,0.054,2485.135,0.154,0.235,-98.163,1.158,98.170,1.181,845000.0,845.00,39155.63,13555.63,2.202,4.791,-3.811,-4.027,-0.680,-0.680,0.163,PID
4,0.2000,0.064,2480.243,0.213,0.167,-97.538,1.233,97.546,1.245,845000.0,845.00,39141.77,13541.77,2.203,4.499,-4.182,-4.398,-0.452,-0.452,0.223,PID
5,0.2500,0.070,2475.382,0.277,0.106,-96.912,1.301,96.921,1.306,845000.0,845.00,39127.91,13527.91,2.204,4.187,-4.412,-4.628,-0.265,-0.265,0.286,PID
6,0.3000,0.074,2470.552,0.343,0.054,-96.286,1.362,96.296,1.363,845000.0,845.00,39114.05,13514.05,2.205,3.864,-4.525,-4.740,-0.109,-0.109,0.351,PID
7,0.3500,0.076,2465.753,0.413,0.008,-95.659,1.416,95.669,1.416,845000.0,845.00,39100.20,13500.20,2.205,3.537,-4.543,-4.757,0.016,0.016,0.420,PID
8,0.4000,0.075,2460.986,0.485,-0.032,-95.032,1.463,95.043,1.464,845000.0,845.00,39086.34,13486.34,2.206,3.212,-4.486,-4.700,0.110,0.110,0.491,PID
9,0.4500,0.073,2456.250,0.559,-0.065,-94.404,1.505,94.416,1.506,845000.0,845.00,39072.48,13472.48,2.207,2.894,-4.370,-4.584,0.186,0.186,0.564,PID
10,0.5000,0.069,2451.546,0.635,-0.093,-93.776,1.541,93.789,1.544,842755.1,842.76,39058.63,13458.63,2.202,2.586,-4.210,-4.423,0.240,0.240,0.639,PID
11,0.5500,0.064,2446.872,0.713,-0.116,-93.159,1.572,93.172,1.576,831431.4,831.43,39044.92,13444.92,2.173,2.292,-4.019,-4.231,0.284,0.284,0.716,PID
12,0.6000,0.057,2442.229,0.792,-0.133,-92.556,1.598,92.569,1.604,820358.3,820.36,39031.39,13431.39,2.145,2.013,-3.808,-4.020,0.312,0.312,0.795,PID
13,0.6500,0.050,2437.616,0.873,-0.147,-91.966,1.620,91.981,1.627,809530.3,809.53,39018.04,13418.04,2.117,1.751,-3.586,-3.798,0.326,0.326,0.874,PID
14,0.7000,0.043,2433.033,0.954,-0.157,-91.391,1.639,91.405,1.646,798915.0,798.92,39004.86,13404.86,2.090,1.506,-3.359,-3.571,0.335,0.335,0.955,PID
15,0.7500,0.035,2428.477,1.037,-0.163,-90.829,1.654,90.844,1.662,787478.6,787.48,38991.86,13391.86,2.061,1.280,-3.136,-3.348,0.327,0.327,1.037,PID
16,0.8000,0.027,2423.949,1.120,-0.167,-90.283,1.666,90.299,1.674,774808.3,774.81,38979.07,13379.07,2.028,1.072,-2.922,-3.132,0.317,0.317,1.120,PID
17,0.8500,0.018,2419.449,1.203,-0.168,-89.753,1.676,89.769,1.684,762541.5,762.54,38966.48,13366.48,1.997,0.885,-2.723,-2.934,0.292,0.292,1.203,PID
18,0.9000,0.010,2414.974,1.287,-0.167,-89.239,1.684,89.255,1.692,750635.8,750.64,38954.09,13354.08,1.966,0.718,-2.549,-2.759,0.250,0.250,1.287,PID
19,0.9500,0.001,2410.525,1.372,-0.165,-88.740,1.691,88.756,1.699,739075.5,739.08,38941.88,13341.88,1.937,0.577,-2.415,-2.625,0.175,0.175,1.372,PID
20,1.0000,-0.005,2406.100,1.456,-0.126,-88.262,1.696,88.279,1.701,728426.4,728.43,38929.82,13329.82,1.909,0.461,-2.328,-1.218,0.122,-0.560,1.456,PID
21,1.0500,-0.012,2401.699,1.541,-0.134,-87.792,1.701,87.808,1.706,717120.9,717.12,38917.98,13317.98,1.880,0.363,-2.266,-1.532,0.054,-0.492,1.541,PID
