step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.661,1397.598,-0.187,13.210,-48.055,-3.743,49.978,13.730,366986.3,366.99,39594.43,13994.43,0.946,0.499,0.036,-0.030,0.109,-0.346,0.687,PID
2,0.1000,1.321,1395.194,-0.374,13.200,-48.080,-3.733,49.998,13.718,364059.1,364.06,39588.43,13988.43,0.938,0.497,-0.076,-0.060,-13.264,-0.337,1.373,PID
3,0.1500,1.981,1392.790,-0.561,13.191,-48.104,-3.732,50.019,13.708,367701.2,367.70,39582.40,13982.40,0.948,0.493,-0.069,-0.088,-13.172,-0.323,2.059,PID
4,0.2000,2.640,1390.384,-0.748,13.181,-48.128,-3.742,50.041,13.702,368822.3,368.82,39576.36,13976.36,0.951,0.488,0.056,-0.114,13.050,-0.308,2.744,PID
5,0.2500,3.299,1387.977,-0.935,13.172,-48.152,-3.731,50.060,13.690,368623.1,368.62,39570.32,13970.32,0.950,0.481,-0.061,-0.138,-12.881,-0.288,3.429,PID
6,0.3000,3.957,1385.569,-1.122,13.163,-48.175,-3.730,50.080,13.681,369647.1,369.65,39564.26,13964.26,0.953,0.474,-0.060,-0.161,-12.684,-0.274,4.113,PID
7,0.3500,4.615,1383.160,-1.308,13.154,-48.198,-3.730,50.099,13.672,370034.5,370.03,39558.20,13958.20,0.954,0.465,-0.059,-0.181,-12.463,-0.259,4.797,PID
8,0.4000,5.273,1380.749,-1.495,13.145,-48.218,-3.739,50.118,13.666,371715.0,371.72,39552.13,13952.13,0.959,0.456,0.058,-0.200,12.203,-0.244,5.480,PID
9,0.4500,5.930,1378.338,-1.682,13.136,-48.238,-3.738,50.134,13.658,370845.4,370.85,39546.07,13946.07,0.957,0.445,0.056,-0.216,11.931,-0.223,6.163,PID
10,0.5000,6.586,1375.926,-1.868,13.128,-48.255,-3.727,50.147,13.647,371084.0,371.08,39540.00,13940.00,0.957,0.434,-0.054,-0.231,-0.069,-0.204,6.846,PID
11,0.5500,7.242,1373.512,-2.055,13.120,-48.272,-3.736,50.162,13.641,372280.4,372.28,39533.93,13933.93,0.961,0.422,0.053,-0.244,11.320,-0.194,7.528,PID
12,0.6000,7.898,1371.098,-2.241,13.112,-48.289,-3.735,50.176,13.633,372411.1,372.41,39527.85,13927.85,0.961,0.410,0.052,-0.256,10.982,-0.179,8.210,PID
13,0.6500,8.554,1368.684,-2.428,13.104,-48.304,-3.725,50.188,13.623,371605.5,371.61,39521.77,13921.77,0.959,0.397,-0.049,-0.266,-0.059,-0.162,8.891,PID
14,0.7000,9.209,1366.268,-2.614,13.096,-48.318,-3.733,50.201,13.618,372587.0,372.59,39515.69,13915.69,0.962,0.383,0.048,-0.275,0.056,-0.148,9.572,PID
15,0.7500,9.863,1363.852,-2.801,13.089,-48.333,-3.724,50.212,13.608,371840.1,371.84,39509.60,13909.60,0.960,0.369,-0.046,-0.282,-0.059,-0.142,10.253,PID
16,0.8000,10.517,1361.435,-2.987,13.082,-48.346,-3.731,50.223,13.603,372667.0,372.67,39503.52,13903.52,0.962,0.355,0.045,-0.288,9.528,-0.123,10.933,PID
