step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,-0.391,1597.256,0.171,-7.781,-54.738,3.478,55.397,8.523,574182.3,574.18,39055.33,13455.33,1.500,4.976,-1.243,1.132,-4.495,3.647,0.427,PID
2,0.1000,-0.778,1594.525,0.348,-7.698,-54.496,3.578,55.153,8.489,566192.9,566.19,39045.99,13445.99,1.479,4.866,-1.969,1.717,-3.892,3.129,0.852,PID
3,0.1500,-1.161,1591.806,0.529,-7.624,-54.262,3.669,54.918,8.461,558383.8,558.38,39036.78,13436.78,1.459,4.713,-2.576,2.201,-3.324,2.645,1.276,PID
4,0.2000,-1.541,1589.099,0.714,-7.557,-54.036,3.751,54.691,8.437,550874.8,550.87,39027.69,13427.69,1.440,4.526,-3.076,2.594,-2.793,2.195,1.698,PID
5,0.2500,-1.917,1586.402,0.904,-7.498,-53.818,3.823,54.472,8.417,543661.1,543.66,39018.72,13418.72,1.422,4.310,-3.477,2.905,-2.298,1.779,2.120,PID
6,0.3000,-2.291,1583.717,1.096,-7.447,-53.607,3.886,54.262,8.400,536723.9,536.72,39009.88,13409.88,1.404,4.073,-3.789,3.142,-1.839,1.396,2.540,PID
7,0.3500,-2.662,1581.042,1.292,-7.402,-53.404,3.942,54.059,8.386,530057.5,530.06,39001.14,13401.14,1.387,3.818,-4.021,3.314,-1.416,1.046,2.959,PID
8,0.4000,-3.031,1578.376,1.491,-7.364,-53.209,3.989,53.864,8.375,523670.8,523.67,38992.51,13392.51,1.370,3.552,-4.182,3.426,-1.030,0.729,3.378,PID
9,0.4500,-3.398,1575.721,1.691,-7.331,-53.020,4.030,53.676,8.366,517529.8,517.53,38983.98,13383.98,1.354,3.278,-4.279,3.487,-0.677,0.441,3.796,PID
10,0.5000,-3.764,1573.074,1.893,-7.304,-52.839,4.063,53.496,8.359,511641.7,511.64,38975.54,13375.54,1.339,3.001,-4.321,3.503,-0.357,0.182,4.214,PID
11,0.5500,-4.129,1570.437,2.097,-7.283,-52.664,4.091,53.323,8.353,505985.9,505.99,38967.21,13367.21,1.325,2.723,-4.313,3.480,-0.069,-0.050,4.631,PID
12,0.6000,-4.493,1567.808,2.302,-7.265,-52.496,4.112,53.156,8.348,500568.5,500.57,38958.96,13358.96,1.311,2.448,-4.262,3.423,0.186,-0.253,5.048,PID
13,0.6500,-4.856,1565.187,2.508,-7.252,-52.335,4.129,52.996,8.345,495354.0,495.35,38950.80,13350.80,1.297,2.178,-4.174,3.336,0.413,-0.432,5.465,PID
14,0.7000,-5.218,1562.574,2.715,-7.243,-52.180,4.140,52.843,8.343,490348.7,490.35,38942.73,13342.73,1.285,1.915,-4.056,3.226,0.610,-0.585,5.882,PID
15,0.7500,-5.580,1559.969,2.922,-7.237,-52.031,4.148,52.695,8.342,485557.7,485.56,38934.73,13334.73,1.272,1.662,-3.911,3.096,0.782,-0.717,6.299,PID
16,0.8000,-5.942,1557.371,3.130,-7.235,-51.888,4.151,52.554,8.341,480945.2,480.95,38926.81,13326.81,1.260,1.418,-3.745,2.950,0.929,-0.830,6.716,PID
